Week,Date,Rockland,Bronx,Queens,Brooklyn,Average
1,1/1/2015 - 1/7/2015,38.14285714,49.42857143,40.28571429,43.14285714,42.75
2,1/8/2015 - 1/14/2015,45.14285714,54.42857143,44.28571429,48.57142857,48.10714286
3,1/15/2015 - 1/21/2015,38.57142857,55.57142857,48.71428571,46.28571429,47.28571429
4,1/22/2015 - 1/28/2015,37.42857143,55.42857143,44.14285714,41,44.5
5,1/29/2015 - 2/4/2015,38.42857143,54,44.71428571,45.14285714,45.57142857
6,2/5/2015 - 2/11/2015,41,57.28571429,46.42857143,46,47.67857143
7,2/12/2015 - 2/18/2015,37.83333333,63.57142857,47.85714286,43.14285714,48.10119048
8,2/19/2015 - 2/25/2015,41,58.42857143,49,44.28571429,48.17857143
9,2/26/2015 - 3/4/2015,44.16666667,56.57142857,51.14285714,46.57142857,49.61309524
10,3/5/2015 - 3/11/2015,40.71428571,58.85714286,54,51.28571429,51.21428571
11,3/12/2015 - 3/18/2015,20.85714286,32,27.14285714,22.57142857,25.64285714
12,3/19/2015 - 3/25/2015,25.42857143,36.57142857,34.42857143,27.71428571,31.03571429
13,3/26/2015 - 4/1/2015,16.42857143,30,27.28571429,27.14285714,25.21428571
14,4/2/2015 - 4/8/2015,30.85714286,40.42857143,34.57142857,32.57142857,34.60714286
15,4/9/2015 - 4/15/2015,18,31.85714286,24,21.42857143,23.82142857
16,4/16/2015 - 4/22/2015,15.71428571,24,23.71428571,24.42857143,21.96428571
17,4/23/2015 - 4/29/2015,6.857142857,12.57142857,15.57142857,13.85714286,12.21428571
18,4/30/2015 - 5/6/2015,32.66666667,39.28571429,31,33,33.98809524
19,5/7/2015 - 5/13/2015,38.14285714,51.71428571,50.28571429,41.28571429,45.35714286
20,5/14/2015 - 5/20/2015,27.57142857,45.57142857,46.28571429,35.28571429,38.67857143
21,5/21/2015 - 5/27/2015,32,33.42857143,41.14285714,32.28571429,34.71428571
22,5/28/2015 - 6/3/2015,15.85714286,24,23.28571429,17,20.03571429
23,6/4/2015 - 6/10/2015,17.85714286,26.71428571,29,24,24.39285714
24,6/11/2015 - 6/17/2015,36.28571429,47.57142857,47.57142857,45.28571429,44.17857143
25,6/18/2015 - 6/24/2015,22.28571429,30.57142857,33,26.42857143,28.07142857
26,6/25/2015 - 7/1/2015,19.28571429,26.14285714,28,23.57142857,24.25
27,7/2/2015 - 7/8/2015,40.57142857,53.85714286,45.14285714,43.85714286,45.85714286
28,7/9/2015 - 7/15/2015,34.28571429,47.85714286,44.71428571,42,42.21428571
29,7/16/2015 - 7/22/2015,29.28571429,36.14285714,37.57142857,33.71428571,34.17857143
30,7/23/2015 - 7/29/2015,30,36.42857143,37.42857143,38.57142857,35.60714286
31,7/30/2015 - 8/5/2015,24.28571429,35.42857143,36.71428571,29.85714286,31.57142857
32,8/6/2015 - 8/12/2015,11.85714286,19.57142857,20.28571429,15.71428571,16.85714286
33,8/13/2015 - 8/19/2015,30,42,37.71428571,36.42857143,36.53571429
34,8/20/2015 - 8/26/2015,17.28571429,24.28571429,26.28571429,20.42857143,22.07142857
35,8/27/2015 - 9/2/2015,42.57142857,45.28571429,45.57142857,42.85714286,44.07142857
36,9/3/2015 - 9/9/2015,46.28571429,42.85714286,40.28571429,36.85714286,41.57142857
37,9/10/2015 - 9/16/2015,16.42857143,23.14285714,26.71428571,22.14285714,22.10714286
38,9/17/2015 - 9/23/2015,21.85714286,27,28.85714286,28,26.42857143
39,9/24/2015 - 9/30/2015,14.28571429,22.71428571,18.28571429,15.57142857,17.71428571
40,10/1/2015 - 10/7/2015,8.714285714,15.71428571,16.57142857,15.14285714,14.03571429
41,10/8/2015 - 10/14/2015,26.85714286,28,28,27.42857143,27.57142857
42,10/15/2015 - 10/21/2015,20.42857143,24.71428571,26.85714286,22.42857143,23.60714286
43,10/22/2015 - 10/28/2015,18,21.71428571,21.28571429,25.28571429,21.57142857
44,10/29/2015 - 11/4/2015,25,37,38.85714286,35.57142857,34.10714286
45,11/5/2015 - 11/11/2015,27.28571429,36,35.28571429,30.42857143,32.25
46,11/12/2015 - 11/18/2015,22,23.28571429,25.28571429,23.14285714,23.42857143
47,11/19/2015 - 11/25/2015,24.66666667,30,24.71428571,25.85714286,26.30952381
48,11/26/2015 - 12/2/2015,24.71428571,37.57142857,29.57142857,31.71428571,30.89285714
49,12/3/2015 - 12/9/2015,43.42857143,56.71428571,57.28571429,48.14285714,51.39285714
50,12/10/2015 - 12/16/2015,46,53.28571429,53,51.71428571,51
51,12/17/2015 - 12/23/2015,30.85714286,36.57142857,33.42857143,32.28571429,33.28571429
52,12/24/2015 - 12/30/2015,25.66666667,36.42857143,33.14285714,34.71428571,32.48809524
1,12/31/2015 - 1/6/2016,38.85714286,47,44,41.42857143,42.82142857
2,1/7/2016 - 1/13/2016,40.57142857,47.85714286,46.28571429,45,44.92857143
3,1/14/2016 - 1/20/2016,36.71428571,43.42857143,42.28571429,41.14285714,40.89285714
4,1/21/2016 - 1/27/2016,36,42.85714286,39.14285714,38,39
5,1/28/2016 - 2/3/2016,39,49.42857143,42.57142857,43.71428571,43.67857143
6,2/4/2016 - 2/10/2016,29.14285714,39.71428571,36.42857143,36.57142857,35.46428571
7,2/11/2016 - 2/17/2016,26.85714286,37.57142857,34,35.57142857,33.5
8,2/18/2016 - 2/24/2016,22.71428571,29,26.57142857,28.71428571,26.75
9,2/25/2016 - 3/2/2016,24.14285714,35.42857143,33.28571429,30.57142857,30.85714286
10,3/3/2016 - 3/9/2016,37.28571429,49.42857143,46.28571429,44.71428571,44.42857143
11,3/10/2016 - 3/16/2016,24.33333333,29.85714286,28.85714286,29,28.01190476
12,3/17/2016 - 3/23/2016,18.71428571,29,24.57142857,22.28571429,23.64285714
13,3/24/2016 - 3/30/2016,20.85714286,28.57142857,24.28571429,27.85714286,25.39285714
14,3/31/2016 - 4/6/2016,18.14285714,27,24.14285714,24.28571429,23.39285714
15,4/7/2016 - 4/13/2016,18.57142857,24.14285714,27.14285714,20.28571429,22.53571429
16,4/14/2016 - 4/20/2016,22.14285714,27.14285714,24.28571429,25.57142857,24.78571429
17,4/21/2016 - 4/27/2016,27.28571429,41.28571429,31.85714286,33.14285714,33.39285714
18,4/28/2016 - 5/4/2016,9.2,20.85714286,17.71428571,15.28571429,15.76428571
19,5/5/2016 - 5/11/2016,10.85714286,21.14285714,19.85714286,18.28571429,17.53571429
20,5/12/2016 - 5/18/2016,18,28.85714286,30,25,25.46428571
21,5/19/2016 - 5/25/2016,24.71428571,29.57142857,34.71428571,30.71428571,29.92857143
22,5/26/2016 - 6/1/2016,41.42857143,41.42857143,41.42857143,37.85714286,40.53571429
23,6/2/2016 - 6/8/2016,18.85714286,32,27.85714286,23.71428571,25.60714286
24,6/9/2016 - 6/15/2016,16.25,20.57142857,24.42857143,24.85714286,21.52678571
25,6/16/2016 - 6/22/2016,29.85714286,34.28571429,34.28571429,33,32.85714286
26,6/23/2016 - 6/29/2016,23.28571429,33.71428571,35.57142857,34.71428571,31.82142857
27,6/30/2016 - 7/6/2016,22.66666667,32.71428571,32.28571429,28,28.91666667
28,7/7/2016 - 7/13/2016,18,28.85714286,26.28571429,18.71428571,22.96428571
29,7/14/2016 - 7/20/2016,23,38.14285714,38.85714286,34,33.5
30,7/21/2016 - 7/27/2016,42.33333333,37.57142857,37.28571429,33.57142857,37.69047619
31,7/28/2016 - 8/3/2016,19.71428571,39.42857143,40.28571429,38.14285714,34.39285714
32,8/4/2016 - 8/10/2016,17.28571429,32.14285714,29.14285714,28.28571429,26.71428571
33,8/11/2016 - 8/17/2016,18.28571429,31.42857143,34.71428571,30,28.60714286
34,8/18/2016 - 8/24/2016,14.14285714,26.71428571,28,24,23.21428571
35,8/25/2016 - 8/31/2016,25.5,31.42857143,31.28571429,26.71428571,28.73214286
36,9/1/2016 - 9/7/2016,8,20.28571429,21.85714286,18.14285714,17.07142857
37,9/8/2016 - 9/14/2016,25.71428571,34.85714286,34.57142857,32,31.78571429
38,9/15/2016 - 9/21/2016,13.42857143,26.57142857,21.14285714,21.14285714,20.57142857
39,9/22/2016 - 9/28/2016,14.71428571,23.42857143,20.28571429,20.57142857,19.75
40,9/29/2016 - 10/5/2016,7.166666667,17.28571429,21,20,16.36309524
41,10/6/2016 - 10/12/2016,14,27.28571429,20.85714286,25.71428571,21.96428571
42,10/13/2016 - 10/19/2016,26.71428571,35.28571429,35.57142857,35.71428571,33.32142857
43,10/20/2016 - 10/26/2016,9.285714286,20.28571429,18,16.28571429,15.96428571
44,10/27/2016 - 11/2/2016,19.66666667,30.28571429,26.42857143,26,25.5952381
45,11/3/2016 - 11/9/2016,22,34.71428571,36.42857143,34.42857143,31.89285714
46,11/10/2016 - 11/16/2016,25.42857143,29.14285714,31.14285714,29.85714286,28.89285714
47,11/17/2016 - 11/23/2016,21.57142857,32,30.14285714,30.28571429,28.5
48,11/24/2016 - 11/30/2016,25.85714286,40.14285714,37.28571429,34.42857143,34.42857143
49,12/1/2016 - 12/7/2016,22,29.14285714,27,26.28571429,26.10714286
50,12/8/2016 - 12/14/2016,30.57142857,39.71428571,44.42857143,40.14285714,38.71428571
51,12/15/2016 - 12/21/2016,31,42.28571429,42,42,39.32142857
