"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"01/01/2015","","ROCHESTER 2","36-055-1007","26"
"01/02/2015","","Rochester Near-Road","36-055-0015","33"
"01/03/2015","","ROCHESTER 2","36-055-1007","34"
"01/04/2015","","Rochester Near-Road","36-055-0015","21"
"01/05/2015","","Rochester Near-Road","36-055-0015","26"
"01/06/2015","","Rochester Near-Road","36-055-0015","35"
"01/07/2015","","Rochester Near-Road","36-055-0015","24"
"01/08/2015","","ROCHESTER 2","36-055-1007","22"
"01/09/2015","","Rochester Near-Road","36-055-0015","33"
"01/10/2015","","Rochester Near-Road","36-055-0015","34"
"01/11/2015","","Rochester Near-Road","36-055-0015","49"
"01/12/2015","","Rochester Near-Road","36-055-0015","37"
"01/13/2015","","Rochester Near-Road","36-055-0015","26"
"01/14/2015","","Rochester Near-Road","36-055-0015","52"
"01/15/2015","","ROCHESTER 2","36-055-1007","65"
"01/16/2015","","ROCHESTER 2","36-055-1007","31"
"01/17/2015","","Rochester Near-Road","36-055-0015","36"
"01/18/2015","","ROCHESTER 2","36-055-1007","34"
"01/19/2015","","Rochester Near-Road","36-055-0015","22"
"01/20/2015","","Rochester Near-Road","36-055-0015","30"
"01/21/2015","","ROCHESTER 2","36-055-1007","52"
"01/22/2015","","ROCHESTER 2","36-055-1007","50"
"01/23/2015","","ROCHESTER 2","36-055-1007","54"
"01/24/2015","","Rochester Near-Road","36-055-0015","59"
"01/25/2015","","Rochester Near-Road","36-055-0015","32"
"01/26/2015","","Rochester Near-Road","36-055-0015","26"
"01/27/2015","","Rochester Near-Road","36-055-0015","22"
"01/28/2015","","Rochester Near-Road","36-055-0015","36"
"01/29/2015","","ROCHESTER 2","36-055-1007","33"
"01/30/2015","","Rochester Near-Road","36-055-0015","25"
"01/31/2015","","Rochester Near-Road","36-055-0015","28"
"02/01/2015","","ROCHESTER 2","36-055-1007","26"
"02/02/2015","","Rochester Near-Road","36-055-0015","26"
"02/03/2015","","ROCHESTER 2","36-055-1007","37"
"02/04/2015","","ROCHESTER 2","36-055-1007","37"
"02/05/2015","","Rochester Near-Road","36-055-0015","22"
"02/06/2015","","ROCHESTER 2","36-055-1007","47"
"02/07/2015","","ROCHESTER 2","36-055-1007","66"
"02/08/2015","","Rochester Near-Road","36-055-0015","36"
"02/09/2015","","ROCHESTER 2","36-055-1007","23"
"02/10/2015","","ROCHESTER 2","36-055-1007","39"
"02/11/2015","","Rochester Near-Road","36-055-0015","61"
"02/12/2015","","Rochester Near-Road","36-055-0015","21"
"02/13/2015","","Rochester Near-Road","36-055-0015","37"
"02/14/2015","","Rochester Near-Road","36-055-0015","35"
"02/15/2015","","Rochester Near-Road","36-055-0015","28"
"02/16/2015","","ROCHESTER 2","36-055-1007","38"
"02/17/2015","","ROCHESTER 2","36-055-1007","55"
"02/18/2015","","ROCHESTER 2","36-055-1007","60"
"02/19/2015","","Rochester Near-Road","36-055-0015","24"
"02/20/2015","","Rochester Near-Road","36-055-0015","48"
"02/21/2015","","ROCHESTER 2","36-055-1007","53"
"02/22/2015","","ROCHESTER 2","36-055-1007","57"
"02/23/2015","","Rochester Near-Road","36-055-0015","26"
"02/24/2015","","ROCHESTER 2","36-055-1007","37"
"02/25/2015","","Rochester Near-Road","36-055-0015","32"
"02/26/2015","","Rochester Near-Road","36-055-0015","28"
"02/27/2015","","Rochester Near-Road","36-055-0015","41"
"02/28/2015","","ROCHESTER 2","36-055-1007","60"
"03/01/2015","","Rochester Near-Road","36-055-0015","71"
"03/02/2015","","ROCHESTER 2","36-055-1007","52"
"03/03/2015","","ROCHESTER 2","36-055-1007","30"
"03/04/2015","","Rochester Near-Road","36-055-0015","55"
"03/05/2015","","Rochester Near-Road","36-055-0015","28"
"03/06/2015","","ROCHESTER 2","36-055-1007","41"
"03/07/2015","","Rochester Near-Road","36-055-0015","70"
"03/08/2015","","ROCHESTER 2","36-055-1007","61"
"03/09/2015","","ROCHESTER 2","36-055-1007","45"
"03/10/2015","","ROCHESTER 2","36-055-1007","68"
"03/11/2015","","ROCHESTER 2","36-055-1007","58"
"03/12/2015","","Rochester Near-Road","36-055-0015","15"
"03/13/2015","","Rochester Near-Road","36-055-0015","23"
"03/14/2015","","ROCHESTER 2","36-055-1007","27"
"03/15/2015","","Rochester Near-Road","36-055-0015","23"
"03/16/2015","","Rochester Near-Road","36-055-0015","53"
"03/17/2015","","ROCHESTER 2","36-055-1007","26"
"03/18/2015","","Rochester Near-Road","36-055-0015","14"
"03/19/2015","","Rochester Near-Road","36-055-0015","18"
"03/20/2015","","ROCHESTER 2","36-055-1007","34"
"03/21/2015","","ROCHESTER 2","36-055-1007","41"
"03/22/2015","","Rochester Near-Road","36-055-0015","22"
"03/23/2015","","Rochester Near-Road","36-055-0015","24"
"03/24/2015","","Rochester Near-Road","36-055-0015","32"
"03/25/2015","","Rochester Near-Road","36-055-0015","54"
"03/26/2015","","ROCHESTER 2","36-055-1007","55"
"03/27/2015","","ROCHESTER 2","36-055-1007","25"
"03/28/2015","","Rochester Near-Road","36-055-0015","15"
"03/29/2015","","Rochester Near-Road","36-055-0015","20"
"03/30/2015","","Rochester Near-Road","36-055-0015","20"
"03/31/2015","","Rochester Near-Road","36-055-0015","20"
"04/01/2015","","Rochester Near-Road","36-055-0015","21"
"04/02/2015","","Rochester Near-Road","36-055-0015","38"
