Week,Date,Steuben,Monroe,Average
1,1/1/2015 - 1/7/2015,23.4,28.42857143,25.91428571
2,1/8/2015 - 1/14/2015,23.5,36.14285714,29.82142857
3,1/15/2015 - 1/21/2015,29.5,38.57142857,34.03571429
4,1/22/2015 - 1/28/2015,26.6,39.85714286,33.22857143
5,1/29/2015 - 2/4/2015,23,30.28571429,26.64285714
6,2/5/2015 - 2/11/2015,30.14285714,42,36.07142857
7,2/12/2015 - 2/18/2015,32.6,39.14285714,35.87142857
8,2/19/2015 - 2/25/2015,37.85714286,39.57142857,38.71428572
9,2/26/2015 - 3/4/2015,41,48.14285714,44.57142857
10,3/5/2015 - 3/11/2015,44.57142857,53,48.78571429
11,3/12/2015 - 3/18/2015,22.57142857,25.85714286,24.21428571
12,3/19/2015 - 3/25/2015,29.85714286,32.14285714,31
13,3/26/2015 - 4/1/2015,18.28571429,25.14285714,21.71428572
14,4/2/2015 - 4/8/2015,20.71428571,29.42857143,25.07142857
15,4/9/2015 - 4/15/2015,15.71428571,28.42857143,22.07142857
16,4/16/2015 - 4/22/2015,13.14285714,25.71428571,19.42857143
17,4/23/2015 - 4/29/2015,9.142857143,20.42857143,14.78571429
18,4/30/2015 - 5/6/2015,21.57142857,28.57142857,25.07142857
19,5/7/2015 - 5/13/2015,28.71428571,34.28571429,31.5
20,5/14/2015 - 5/20/2015,26.57142857,30.85714286,28.71428571
21,5/21/2015 - 5/27/2015,25.42857143,30.42857143,27.92857143
22,5/28/2015 - 6/3/2015,14,21.71428571,17.85714286
23,6/4/2015 - 6/10/2015,27.57142857,34,30.78571429
24,6/11/2015 - 6/17/2015,31.28571429,33.42857143,32.35714286
25,6/18/2015 - 6/24/2015,26.71428571,32,29.35714286
26,6/25/2015 - 7/1/2015,18.5,21.57142857,20.03571429
27,7/2/2015 - 7/8/2015,38,42.85714286,40.42857143
28,7/9/2015 - 7/15/2015,36,43.85714286,39.92857143
29,7/16/2015 - 7/22/2015,26.2,29.28571429,27.74285714
30,7/23/2015 - 7/29/2015,32,39.85714286,35.92857143
