"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"01/01/2015","","PINNACLE STATE PARK","36-101-0003","18"
"01/02/2015","","PINNACLE STATE PARK","36-101-0003","24"
"01/03/2015","","PINNACLE STATE PARK","36-101-0003","52"
"01/04/2015","","PINNACLE STATE PARK","36-101-0003","2"
"01/06/2015","","PINNACLE STATE PARK","36-101-0003","21"
"01/09/2015","","PINNACLE STATE PARK","36-101-0003","21"
"01/10/2015","","PINNACLE STATE PARK","36-101-0003","21"
"01/11/2015","","PINNACLE STATE PARK","36-101-0003","19"
"01/12/2015","","PINNACLE STATE PARK","36-101-0003","33"
"01/15/2015","","PINNACLE STATE PARK","36-101-0003","46"
"01/16/2015","","PINNACLE STATE PARK","36-101-0003","28"
"01/18/2015","","PINNACLE STATE PARK","36-101-0003","37"
"01/19/2015","","PINNACLE STATE PARK","36-101-0003","3"
"01/20/2015","","PINNACLE STATE PARK","36-101-0003","17"
"01/21/2015","","PINNACLE STATE PARK","36-101-0003","46"
"01/22/2015","","PINNACLE STATE PARK","36-101-0003","41"
"01/24/2015","","PINNACLE STATE PARK","36-101-0003","51"
"01/25/2015","","PINNACLE STATE PARK","36-101-0003","10"
"01/26/2015","","PINNACLE STATE PARK","36-101-0003","12"
"01/27/2015","","PINNACLE STATE PARK","36-101-0003","19"
"01/29/2015","","PINNACLE STATE PARK","36-101-0003","10"
"01/30/2015","","PINNACLE STATE PARK","36-101-0003","20"
"01/31/2015","","PINNACLE STATE PARK","36-101-0003","14"
"02/01/2015","","PINNACLE STATE PARK","36-101-0003","43"
"02/02/2015","","PINNACLE STATE PARK","36-101-0003","27"
"02/04/2015","","PINNACLE STATE PARK","36-101-0003","24"
"02/05/2015","","PINNACLE STATE PARK","36-101-0003","15"
"02/06/2015","","PINNACLE STATE PARK","36-101-0003","26"
"02/07/2015","","PINNACLE STATE PARK","36-101-0003","41"
"02/08/2015","","PINNACLE STATE PARK","36-101-0003","49"
"02/09/2015","","PINNACLE STATE PARK","36-101-0003","25"
"02/10/2015","","PINNACLE STATE PARK","36-101-0003","28"
"02/11/2015","","PINNACLE STATE PARK","36-101-0003","27"
"02/12/2015","","PINNACLE STATE PARK","36-101-0003","18"
"02/14/2015","","PINNACLE STATE PARK","36-101-0003","28"
"02/15/2015","","PINNACLE STATE PARK","36-101-0003","18"
"02/17/2015","","PINNACLE STATE PARK","36-101-0003","50"
"02/18/2015","","PINNACLE STATE PARK","36-101-0003","49"
"02/19/2015","","PINNACLE STATE PARK","36-101-0003","24"
