Week,Date,Bronx,Queens,Rockland,Westchester,Average
1,1/1/2015 - 1/7/2015,49.42857143,40.28571429,38.14285714,46.28571429,43.53571429
2,1/8/2015 - 1/14/2015,54.42857143,44.28571429,45.14285714,50.42857143,48.57142857
3,1/15/2015 - 1/21/2015,55.57142857,48.71428571,38.57142857,46.16666667,47.25595238
4,1/22/2015 - 1/28/2015,55.42857143,44.14285714,37.42857143,42.28571429,44.82142857
5,1/29/2015 - 2/4/2015,54,44.71428571,38.42857143,40.85714286,44.5
6,2/5/2015 - 2/11/2015,57.28571429,46.42857143,41,43.42857143,47.03571429
7,2/12/2015 - 2/18/2015,63.57142857,47.85714286,37.83333333,42.28571429,47.88690476
8,2/19/2015 - 2/25/2015,58.42857143,49,41,44.14285714,48.14285714
9,2/26/2015 - 3/4/2015,56.57142857,51.14285714,44.16666667,43.28571429,48.79166667
10,3/5/2015 - 3/11/2015,58.85714286,54,40.71428571,45.42857143,49.75
11,3/12/2015 - 3/18/2015,32,27.14285714,20.85714286,21.85714286,25.46428571
12,3/19/2015 - 3/25/2015,36.57142857,34.42857143,25.42857143,26.42857143,30.71428571
13,3/26/2015 - 4/1/2015,30,27.28571429,16.42857143,20.42857143,23.53571429
14,4/2/2015 - 4/8/2015,40.42857143,34.57142857,30.85714286,31.28571429,34.28571429
15,4/9/2015 - 4/15/2015,31.85714286,24,18,20.14285714,23.5
16,4/16/2015 - 4/22/2015,24,23.71428571,15.71428571,17,20.10714286
17,4/23/2015 - 4/29/2015,12.57142857,15.57142857,6.857142857,7.142857143,10.53571429
18,4/30/2015 - 5/6/2015,39.28571429,31,32.66666667,29,32.98809524
19,5/7/2015 - 5/13/2015,51.71428571,50.28571429,38.14285714,39.85714286,45
20,5/14/2015 - 5/20/2015,45.57142857,46.28571429,27.57142857,31.42857143,37.71428571
21,5/21/2015 - 5/27/2015,33.42857143,41.14285714,32,33.14285714,34.92857143
22,5/28/2015 - 6/3/2015,24,23.28571429,15.85714286,18.33333333,20.36904762
23,6/4/2015 - 6/10/2015,26.71428571,29,17.85714286,21,23.64285714
24,6/11/2015 - 6/17/2015,47.57142857,47.57142857,36.28571429,35.14285714,41.64285714
25,6/18/2015 - 6/24/2015,30.57142857,33,22.28571429,22.85714286,27.17857143
26,6/25/2015 - 7/1/2015,26.14285714,28,19.28571429,20,23.35714286
27,7/2/2015 - 7/8/2015,53.85714286,45.14285714,40.57142857,43.42857143,45.75
28,7/9/2015 - 7/15/2015,47.85714286,44.71428571,34.28571429,37.28571429,41.03571429
29,7/16/2015 - 7/22/2015,36.14285714,37.57142857,29.28571429,30.14285714,33.28571429
30,7/23/2015 - 7/29/2015,36.42857143,37.42857143,30,32.71428571,34.14285714
31,7/30/2015 - 8/5/2015,35.42857143,36.71428571,24.28571429,35.57142857,33
32,8/6/2015 - 8/12/2015,19.57142857,20.28571429,11.85714286,13.28571429,16.25
33,8/13/2015 - 8/19/2015,42,37.71428571,30,35,36.17857143
34,8/20/2015 - 8/26/2015,24.28571429,26.28571429,17.28571429,27.14285714,23.75
35,8/27/2015 - 9/2/2015,45.28571429,45.57142857,42.57142857,43.28571429,44.17857143
36,9/3/2015 - 9/9/2015,42.85714286,40.28571429,46.28571429,41.14285714,42.64285714
37,9/10/2015 - 9/16/2015,23.14285714,26.71428571,16.42857143,20.28571429,21.64285714
38,9/17/2015 - 9/23/2015,27,28.85714286,21.85714286,22.57142857,25.07142857
39,9/24/2015 - 9/30/2015,22.71428571,18.28571429,14.28571429,11.28571429,16.64285714
40,10/1/2015 - 10/7/2015,15.71428571,16.57142857,8.714285714,10,12.75
41,10/8/2015 - 10/14/2015,28,28,26.85714286,25.85714286,27.17857143
42,10/15/2015 - 10/21/2015,24.71428571,26.85714286,20.42857143,24,24
43,10/22/2015 - 10/28/2015,21.71428571,21.28571429,18,18.85714286,19.96428571
44,10/29/2015 - 11/4/2015,37,38.85714286,25,30,32.71428571
45,11/5/2015 - 11/11/2015,36,35.28571429,27.28571429,27,31.39285714
46,11/12/2015 - 11/18/2015,23.28571429,25.28571429,22,22.85714286,23.35714286
47,11/19/2015 - 11/25/2015,30,24.71428571,24.66666667,25.42857143,26.20238095
48,11/26/2015 - 12/2/2015,37.57142857,29.57142857,24.71428571,25.71428571,29.39285714
49,12/3/2015 - 12/9/2015,56.71428571,57.28571429,43.42857143,42.42857143,49.96428571
50,12/10/2015 - 12/16/2015,53.28571429,53,46,44.85714286,49.28571429
51,12/17/2015 - 12/23/2015,36.57142857,33.42857143,30.85714286,31.14285714,33
52,12/24/2015 - 12/30/2015,36.42857143,33.14285714,25.66666667,28.42857143,30.91666667
1,12/31/2015 - 1/6/2016,47,44,38.85714286,42.42857143,43.07142857
2,1/7/2016 - 1/13/2016,47.85714286,46.28571429,40.57142857,43.28571429,44.5
3,1/14/2016 - 1/20/2016,43.42857143,42.28571429,36.71428571,39,40.35714286
4,1/21/2016 - 1/27/2016,42.85714286,39.14285714,36,39.28571429,39.32142857
5,1/28/2016 - 2/3/2016,49.42857143,42.57142857,39,39.57142857,42.64285714
6,2/4/2016 - 2/10/2016,39.71428571,36.42857143,29.14285714,31.85714286,34.28571429
7,2/11/2016 - 2/17/2016,37.57142857,34,26.85714286,30.28571429,32.17857143
8,2/18/2016 - 2/24/2016,29,26.57142857,22.71428571,25,25.82142857
9,2/25/2016 - 3/2/2016,35.42857143,33.28571429,24.14285714,32.42857143,31.32142857
10,3/3/2016 - 3/9/2016,49.42857143,46.28571429,37.28571429,38.42857143,42.85714286
11,3/10/2016 - 3/16/2016,29.85714286,28.85714286,24.33333333,21.85714286,26.22619048
12,3/17/2016 - 3/23/2016,29,24.57142857,18.71428571,21.42857143,23.42857143
13,3/24/2016 - 3/30/2016,28.57142857,24.28571429,20.85714286,21.57142857,23.82142857
14,3/31/2016 - 4/6/2016,27,24.14285714,18.14285714,20.85714286,22.53571429
15,4/7/2016 - 4/13/2016,24.14285714,27.14285714,18.57142857,18.57142857,22.10714286
16,4/14/2016 - 4/20/2016,27.14285714,24.28571429,22.14285714,22,23.89285714
17,4/21/2016 - 4/27/2016,41.28571429,31.85714286,27.28571429,24.71428571,31.28571429
18,4/28/2016 - 5/4/2016,20.85714286,17.71428571,9.2,10.42857143,14.55
19,5/5/2016 - 5/11/2016,21.14285714,19.85714286,10.85714286,11.71428571,15.89285714
20,5/12/2016 - 5/18/2016,28.85714286,30,18,17.6,23.61428571
21,5/19/2016 - 5/25/2016,29.57142857,34.71428571,24.71428571,22.28571429,27.82142857
22,5/26/2016 - 6/1/2016,41.42857143,41.42857143,41.42857143,38.71428571,40.75
23,6/2/2016 - 6/8/2016,32,27.85714286,18.85714286,17.28571429,24
24,6/9/2016 - 6/15/2016,20.57142857,24.42857143,16.25,14.42857143,18.91964286
25,6/16/2016 - 6/22/2016,34.28571429,34.28571429,29.85714286,23,30.35714286
26,6/23/2016 - 6/29/2016,33.71428571,35.57142857,23.28571429,26.57142857,29.78571429
27,6/30/2016 - 7/6/2016,32.71428571,32.28571429,22.66666667,19.42857143,26.77380952
28,7/7/2016 - 7/13/2016,28.85714286,26.28571429,18,16.85714286,22.5
29,7/14/2016 - 7/20/2016,38.14285714,38.85714286,23,27,31.75
30,7/21/2016 - 7/27/2016,37.57142857,37.28571429,42.33333333,28.57142857,36.44047619
31,7/28/2016 - 8/3/2016,39.42857143,40.28571429,19.71428571,36.14285714,33.89285714
32,8/4/2016 - 8/10/2016,32.14285714,29.14285714,17.28571429,19.42857143,24.5
33,8/11/2016 - 8/17/2016,31.42857143,34.71428571,18.28571429,21.28571429,26.42857143
34,8/18/2016 - 8/24/2016,26.71428571,28,14.14285714,18.85714286,21.92857143
35,8/25/2016 - 8/31/2016,31.42857143,31.28571429,25.5,21.42857143,27.41071429
36,9/1/2016 - 9/7/2016,20.28571429,21.85714286,8,11.5,15.41071429
37,9/8/2016 - 9/14/2016,34.85714286,34.57142857,25.71428571,35,32.53571429
38,9/15/2016 - 9/21/2016,26.57142857,21.14285714,13.42857143,8.857142857,17.5
39,9/22/2016 - 9/28/2016,23.42857143,20.28571429,14.71428571,13.42857143,17.96428571
40,9/29/2016 - 10/5/2016,17.28571429,21,7.166666667,7.5,13.23809524
41,10/6/2016 - 10/12/2016,27.28571429,20.85714286,14,15,19.28571429
42,10/13/2016 - 10/19/2016,35.28571429,35.57142857,26.71428571,31.28571429,32.21428571
43,10/20/2016 - 10/26/2016,20.28571429,18,9.285714286,10.42857143,14.5
44,10/27/2016 - 11/2/2016,30.28571429,26.42857143,19.66666667,21.71428571,24.52380952
45,11/3/2016 - 11/9/2016,34.71428571,36.42857143,22,27.71428571,30.21428571
46,11/10/2016 - 11/16/2016,29.14285714,31.14285714,25.42857143,24.57142857,27.57142857
47,11/17/2016 - 11/23/2016,32,30.14285714,21.57142857,22.28571429,26.5
48,11/24/2016 - 11/30/2016,40.14285714,37.28571429,25.85714286,27.57142857,32.71428571
49,12/1/2016 - 12/7/2016,29.14285714,27,22,20.42857143,24.64285714
50,12/8/2016 - 12/14/2016,39.71428571,44.42857143,30.57142857,33.57142857,37.07142857
51,12/15/2016 - 12/21/2016,42.28571429,42,31,34.14285714,37.35714286
52,12/22/2016 - 12/28/2016,38.85714286,38.85714286,33.85714286,36.85714286,37.10714286
1,12/29/2016 - 1/4/2017,38.57142857,35.57142857,32,34.5,35.16071429
2,1/5/2017 - 1/11/2017,45.71428571,43.28571429,41.33333333,40.28571429,42.6547619
3,1/12/2017 - 1/18/2017,47.57142857,47.42857143,39.85714286,41.71428571,44.14285714
4,1/19/2017 - 1/25/2017,42,37,31.4,28.57142857,34.74285714
5,1/26/2017 - 2/1/2017,35.71428571,35,27.57142857,32,32.57142857
6,2/2/2017 - 2/8/2017,49.14285714,43.57142857,31,31,38.67857143
7,2/9/2017 - 2/15/2017,45,37.57142857,28.85714286,30.14285714,35.39285714
8,2/16/2017 - 2/22/2017,39.71428571,36,33.14285714,32.71428571,35.39285714
9,2/23/2017 - 3/1/2017,40.71428571,34.14285714,31.71428571,31.57142857,34.53571429
10,3/2/2017 - 3/8/2017,32.42857143,35.14285714,24.16666667,22.42857143,28.54166667
11,3/9/2017 - 3/15/2017,22.28571429,25.85714286,15.85714286,15.42857143,19.85714286
12,3/16/2017 - 3/22/2017,30.57142857,29.85714286,21.85714286,20.71428571,25.75
13,3/23/2017 - 3/29/2017,32.71428571,32.85714286,19.57142857,21.71428571,26.71428571
14,3/30/2017 - 4/5/2017,23.14285714,24.28571429,10.5,12.2,17.53214286
15,4/6/2017 - 4/12/2017,32.57142857,30.57142857,25.83333333,36,31.24404762
16,4/13/2017 - 4/19/2017,23,23.28571429,15.28571429,15.57142857,19.28571429
17,4/20/2017 - 4/26/2017,17.28571429,21,8.714285714,8.428571429,13.85714286
18,4/27/2017 - 5/3/2017,26.71428571,33.28571429,16.28571429,22.4,24.67142857
19,5/4/2017 - 5/10/2017,19,21,6.857142857,8.333333333,13.79761905
20,5/11/2017 - 5/17/2017,18.28571429,23.28571429,17.2,17.25,19.00535714
21,5/18/2017 - 5/24/2017,29.42857143,31.71428571,20.28571429,18.14285714,24.89285714
22,5/25/2017 - 5/31/2017,18.57142857,18.28571429,6.285714286,3.428571429,11.64285714
23,6/1/2017 - 6/7/2017,19.71428571,24.85714286,5.285714286,6.285714286,14.03571429
24,6/8/2017 - 6/14/2017,42.42857143,44.85714286,30.28571429,32.42857143,37.5
25,6/15/2017 - 6/21/2017,30.57142857,29.71428571,16.85714286,17.8,23.73571429
26,6/22/2017 - 6/28/2017,27.14285714,32.42857143,16.71428571,16.71428571,23.25
27,6/29/2017 - 7/5/2017,41.42857143,48.14285714,25.42857143,25.28571429,35.07142857
28,7/6/2017 - 7/12/2017,33.57142857,36.85714286,19.85714286,21.33333333,27.9047619
29,7/13/2017 - 7/19/2017,30.57142857,35.28571429,19.28571429,19.42857143,26.14285714
30,7/20/2017 - 7/26/2017,33,40.85714286,18.85714286,19,27.92857143
31,7/27/2017 - 8/2/2017,42.57142857,36.85714286,19.57142857,20.28571429,29.82142857
32,8/3/2017 - 8/9/2017,30.71428571,29.28571429,17.42857143,16,23.35714286
33,8/10/2017 - 8/16/2017,30.85714286,37.14285714,29.42857143,20.28571429,29.42857143
34,8/17/2017 - 8/23/2017,34.28571429,40.85714286,28.14285714,29.42857143,33.17857143
35,8/24/2017 - 8/30/2017,22.57142857,30.57142857,19.85714286,12.71428571,21.42857143
36,8/31/2017 - 9/6/2017,33.71428571,36.85714286,35,25.14285714,32.67857143
37,9/7/2017 - 9/13/2017,18.42857143,25.85714286,10,10.28571429,16.14285714
38,9/14/2017 - 9/20/2017,36.71428571,39.71428571,27.33333333,28.28571429,33.01190476
39,9/21/2017 - 9/27/2017,28,31.28571429,25.28571429,21.42857143,26.5
40,9/28/2017 - 10/4/2017,22,25.71428571,10.83333333,13.14285714,17.92261905
41,10/5/2017 - 10/11/2017,31.85714286,35.42857143,20.85714286,21.42857143,27.39285714
42,10/12/2017 - 10/18/2017,19.85714286,26,13.14285714,13.28571429,18.07142857
43,10/19/2017 - 10/25/2017,37.28571429,34.28571429,20.42857143,23.28571429,28.82142857
44,10/26/2017 - 11/1/2017,22.42857143,26.42857143,20.66666667,19.28571429,22.20238095
45,11/2/2017 - 11/8/2017,25.14285714,25.71428571,17.14285714,18.42857143,21.60714286
46,11/9/2017 - 11/15/2017,34,33.71428571,24,23.66666667,28.8452381
