Month,Bronx,Queens,Rockland,Westchester,Average
1,45.90967742,42.96129032,36.8,38.77631579,41.11182088
2,44.07801418,39.39007092,30.94814815,32.19285714,36.6522726
3,34.26451613,32.44516129,22.98648649,23.79470199,28.37271647
4,27.3,27.08,17.10273973,17.70138889,22.29603215
5,31.06451613,31.98709677,20.2027027,20.03424658,25.82214055
6,29.61333333,31.54,18.69230769,19.11888112,24.74113054
7,39.16233766,39.2516129,26.57718121,26.83660131,32.95693327
8,33.89032258,34.70967742,22.45098039,21.67785235,28.18220819
9,27.25333333,28.27333333,18.67832168,17,22.80124709
10,24.48387097,25,16.20945946,16.69480519,20.59703391
11,31.88666667,30.87333333,22.86394558,23.94557823,27.39238095
12,40.02580645,39.50967742,30.39041096,30.81818182,35.18601916
