"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2015","44","","MASPETH LIBRARY","36-081-0120","AQS"
"01/02/2015","53","","MASPETH LIBRARY","36-081-0120","AQS"
"01/03/2015","42","","MASPETH LIBRARY","36-081-0120","AQS"
"01/04/2015","33","","MASPETH LIBRARY","36-081-0120","AQS"
"01/05/2015","39","","MASPETH LIBRARY","36-081-0120","AQS"
"01/06/2015","44","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/07/2015","27","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/08/2015","23","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/09/2015","36","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/10/2015","52","","MASPETH LIBRARY","36-081-0120","AQS"
"01/11/2015","51","","MASPETH LIBRARY","36-081-0120","AQS"
"01/12/2015","59","","MASPETH LIBRARY","36-081-0120","AQS"
"01/13/2015","45","","MASPETH LIBRARY","36-081-0120","AQS"
"01/14/2015","44","","MASPETH LIBRARY","36-081-0120","AQS"
"01/15/2015","62","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/16/2015","62","","MASPETH LIBRARY","36-081-0120","AQS"
"01/17/2015","33","","MASPETH LIBRARY","36-081-0120","AQS"
"01/18/2015","57","","MASPETH LIBRARY","36-081-0120","AQS"
"01/19/2015","41","","MASPETH LIBRARY","36-081-0120","AQS"
"01/20/2015","39","","MASPETH LIBRARY","36-081-0120","AQS"
"01/21/2015","47","","MASPETH LIBRARY","36-081-0120","AQS"
"01/22/2015","55","","MASPETH LIBRARY","36-081-0120","AQS"
"01/23/2015","66","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/24/2015","53","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/25/2015","42","","MASPETH LIBRARY","36-081-0120","AQS"
"01/26/2015","24","","MASPETH LIBRARY","36-081-0120","AQS"
"01/27/2015","29","","MASPETH LIBRARY","36-081-0120","AQS"
"01/28/2015","40","","MASPETH LIBRARY","36-081-0120","AQS"
"01/29/2015","38","","MASPETH LIBRARY","36-081-0120","AQS"
"01/30/2015","44","","MASPETH LIBRARY","36-081-0120","AQS"
"01/31/2015","37","","MASPETH LIBRARY","36-081-0120","AQS"
"02/01/2015","68","","QUEENS COLLEGE 2","36-081-0124","AQS"
"02/02/2015","34","","MASPETH LIBRARY","36-081-0120","AQS"
