"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2016","35","","MORRISANIA","36-005-0080","AQS"
"01/02/2016","44","","MORRISANIA","36-005-0080","AQS"
"01/03/2016","51","","MORRISANIA","36-005-0080","AQS"
"01/04/2016","45","","MORRISANIA","36-005-0080","AQS"
"01/05/2016","59","","IS 74","36-005-0112","AQS"
"01/06/2016","64","","IS 74","36-005-0112","AQS"
"01/07/2016","77","","IS 74","36-005-0112","AQS"
"01/08/2016","55","","IS 74","36-005-0112","AQS"
"01/09/2016","47","","MORRISANIA","36-005-0080","AQS"
"01/10/2016","28","","MORRISANIA","36-005-0080","AQS"
"01/11/2016","37","","IS 74","36-005-0112","AQS"
"01/12/2016","48","","IS 74","36-005-0112","AQS"
"01/13/2016","43","","IS 74","36-005-0112","AQS"
"01/14/2016","54","","IS 74","36-005-0112","AQS"
"01/15/2016","66","","MORRISANIA","36-005-0080","AQS"
"01/16/2016","45","","MORRISANIA","36-005-0080","AQS"
"01/17/2016","33","","MORRISANIA","36-005-0080","AQS"
"01/18/2016","40","","IS 74","36-005-0112","AQS"
"01/19/2016","34","","IS 74","36-005-0112","AQS"
"01/20/2016","32","","MORRISANIA","36-005-0080","AQS"
"01/21/2016","36","","IS 74","36-005-0112","AQS"
"01/22/2016","26","","MORRISANIA","36-005-0080","AQS"
"01/23/2016","30","","MORRISANIA","36-005-0080","AQS"
"01/24/2016","47","","MORRISANIA","36-005-0080","AQS"
"01/25/2016","61","","IS 74","36-005-0112","AQS"
"01/26/2016","56","","IS 74","36-005-0112","AQS"
"01/27/2016","44","","IS 74","36-005-0112","AQS"
"01/28/2016","54","","IS 52","36-005-0110","AQS"
"01/29/2016","48","","IS 74","36-005-0112","AQS"
"01/30/2016","43","","IS 74","36-005-0112","AQS"
"01/31/2016","56","","MORRISANIA","36-005-0080","AQS"
"02/01/2016","54","","IS 74","36-005-0112","AQS"
"02/02/2016","41","","MORRISANIA","36-005-0080","AQS"
"02/03/2016","50","","MORRISANIA","36-005-0080","AQS"
"02/04/2016","39","","IS 74","36-005-0112","AQS"
"02/05/2016","29","","IS 74","36-005-0112","AQS"
"02/06/2016","49","","MORRISANIA","36-005-0080","AQS"
"02/07/2016","50","","IS 52","36-005-0110","AQS"
"02/08/2016","30","","IS 74","36-005-0112","AQS"
"02/09/2016","38","","IS 52","36-005-0110","AQS"
"02/10/2016","43","","IS 52","36-005-0110","AQS"
"02/11/2016","33","","IS 74","36-005-0112","AQS"
"02/12/2016","28","","IS 52","36-005-0110","AQS"
"02/13/2016","37","","IS 74","36-005-0112","AQS"
"02/14/2016","30","","MORRISANIA","36-005-0080","AQS"
"02/15/2016","50","","IS 52","36-005-0110","AQS"
"02/16/2016","45","","MORRISANIA","36-005-0080","AQS"
"02/17/2016","40","","IS 74","36-005-0112","AQS"
"02/18/2016","26","","IS 74","36-005-0112","AQS"
"02/19/2016","33","","MORRISANIA","36-005-0080","AQS"
"02/20/2016","39","","MORRISANIA","36-005-0080","AQS"
"02/21/2016","37","","MORRISANIA","36-005-0080","AQS"
"02/22/2016","26","","MORRISANIA","36-005-0080","AQS"
"02/23/2016","25","","MORRISANIA","36-005-0080","AQS"
"02/24/2016","17","","MORRISANIA","36-005-0080","AQS"
"02/25/2016","28","","MORRISANIA","36-005-0080","AQS"
"02/26/2016","26","","IS 74","36-005-0112","AQS"
"02/27/2016","32","","MORRISANIA","36-005-0080","AQS"
"02/28/2016","54","","IS 74","36-005-0112","AQS"
"02/29/2016","48","","IS 74","36-005-0112","AQS"
"03/01/2016","25","","MORRISANIA","36-005-0080","AQS"
"03/02/2016","35","","IS 74","36-005-0112","AQS"
"03/03/2016","23","","IS 74","36-005-0112","AQS"
