Week,Date,Average of Queens Carbon Monoxide AQI Value,Average of Bronx Carbon Monoxide AQI Value,Average of cluster 1 Carbon Monoxide AQI Value
1,1/1/2016 - 1/7/2016,6,5.86,5.93
2,1/8/2016 - 1/14/2016,3.17,5.43,4.3
3,1/15/2016 - 1/21/2016,3.83,4,3.915
4,1/22/2016 - 1/28/2016,4.86,5.86,5.36
5,1/29/2016 - 2/4/2016,5.43,6.14,5.785
6,2/5/2016 - 2/11/2016,3.71,4.43,4.07
7,2/12/2016 - 2/18/2016,3.17,4.14,3.655
8,2/19/2016 - 2/25/2016,3.14,5,4.07
9,2/26/2016 - 3/3/2016,2.33,4.14,3.235
10,3/4/2016 - 3/10/2016,5.17,6.71,5.94
11,3/11/2016 - 3/17/2016,4.67,5.71,5.19
12,3/18/2016 - 3/24/2016,3.33,4.14,3.735
13,3/25/2016 - 3/31/2016,2.5,3.71,3.105
14,4/1/2016 - 4/7/2016,2.43,3.86,3.145
15,4/8/2016 - 4/14/2016,2.57,3.86,3.215
16,4/15/2016 - 4/21/2016,3.43,4.86,4.145
17,4/22/2016 - 4/28/2016,3.17,4.86,4.015
18,4/29/2016 - 5/5/2016,3,4.71,3.855
19,5/6/2016 - 5/12/2016,3.83,5.43,4.63
20,5/13/2016 - 5/19/2016,3.86,4.86,4.36
21,5/20/2016 - 5/26/2016,4.67,5.71,5.19
22,5/27/2016 - 6/2/2016,2.86,5.71,4.285
23,6/3/2016 - 6/9/2016,2,4,3
24,6/10/2016 - 6/16/2016,3.5,4.43,3.965
25,6/17/2016 - 6/23/2016,3.67,5.43,4.55
26,6/24/2016 - 6/30/2016,2.57,4,3.285
27,7/1/2016 - 7/7/2016,2.83,4.29,3.56
28,7/8/2016 - 7/14/2016,2.83,4.71,3.77
29,7/15/2016 - 7/21/2016,2.86,4.86,3.86
30,7/22/2016 - 7/28/2016,2.5,4.29,3.395
31,7/29/2016 - 8/4/2016,2.29,3.86,3.075
32,8/5/2016 - 8/11/2016,2.83,4.14,3.485
33,8/12/2016 - 8/18/2016,2.17,3.57,2.87
34,8/19/2016 - 8/25/2016,2.8,4.57,3.685
35,8/26/2016 - 9/1/2016,2.83,4.29,3.56
36,9/2/2016 - 9/8/2016,2.67,2.86,2.765
37,9/9/2016 - 9/15/2016,2.83,3.71,3.27
38,9/16/2016 - 9/22/2016,3.71,5.43,4.57
39,9/23/2016 - 9/29/2016,4.29,5.57,4.93
40,9/30/2016 - 10/6/2016,3.57,5.86,4.715
41,10/7/2016 - 10/13/2016,7,7.29,7.145
42,10/14/2016 - 10/20/2016,4.5,5.29,4.895
43,10/21/2016 - 10/27/2016,3.14,3.71,3.425
44,10/28/2016 - 11/3/2016,5.33,5.71,5.52
45,11/4/2016 - 11/10/2016,4.67,5.14,4.905
46,11/11/2016 - 11/17/2016,4.43,5.57,5
47,11/18/2016 - 11/24/2016,3.5,4.71,4.105
48,11/25/2016 - 12/1/2016,6.33,5.86,6.095
49,12/2/2016 - 12/8/2016,3.5,4.57,4.035
50,12/9/2016 - 12/15/2016,3.29,5.14,4.215
51,12/16/2016 - 12/22/2016,5.83,6.43,6.13
52,12/23/2016 - 12/29/2016,3,5,4
1,12/30/2016 - 1/5/2017,3.57,1.43,2.5
2,1/6/2017 - 1/12/2017,3.86,0,1.93
