Week,Year,Date,Average of Rockland Ozone AQI Value,Average of White Plains Ozone AQI Value,Average of Queens Ozone AQI Value,Average of cluster 1 Ozone AQI Value
1,2016,1/1/2016 - 1/7/2016,16.8,18,13,15.93333333
2,2016,1/8/2016 - 1/14/2016,24.14,25.29,22,23.81
3,2016,1/15/2016 - 1/21/2016,24.57,25,23,24.19
4,2016,1/22/2016 - 1/28/2016,25,23.86,22.71,23.85666667
5,2016,1/29/2016 - 2/4/2016,23.43,24.29,20,22.57333333
6,2016,2/5/2016 - 2/11/2016,27.57,27,23,25.85666667
7,2016,2/12/2016 - 2/18/2016,25.71,26.43,22.86,25
8,2016,2/19/2016 - 2/25/2016,26.43,28.43,23.86,26.24
9,2016,2/26/2016 - 3/3/2016,30.43,31.71,29.86,30.66666667
10,2016,3/4/2016 - 3/10/2016,32.71,33.57,29,31.76
11,2016,3/11/2016 - 3/17/2016,29.86,30,28.43,29.43
12,2016,3/18/2016 - 3/24/2016,33.86,34.57,33.14,33.85666667
13,2016,3/25/2016 - 3/31/2016,33.43,34.57,32,33.33333333
14,2016,4/1/2016 - 4/7/2016,32.29,32.86,30.43,31.86
15,2016,4/8/2016 - 4/14/2016,32.86,33.86,32.43,33.05
16,2016,4/15/2016 - 4/21/2016,42.29,43.57,41.29,42.38333333
17,2016,4/22/2016 - 4/28/2016,35.71,36.86,33.71,35.42666667
18,2016,4/29/2016 - 5/5/2016,26,29.71,19.75,25.15333333
19,2016,5/6/2016 - 5/12/2016,33.71,35.86,32.57,34.04666667
20,2016,5/13/2016 - 5/19/2016,32.29,34.71,33,33.33333333
21,2016,5/20/2016 - 5/26/2016,45.29,51.71,49.43,48.81
22,2016,5/27/2016 - 6/2/2016,45,55.43,40.86,47.09666667
23,2016,6/3/2016 - 6/9/2016,33.14,37.14,38.71,36.33
24,2016,6/10/2016 - 6/16/2016,35.17,38.14,39,37.43666667
25,2016,6/17/2016 - 6/23/2016,49.29,49.71,50.14,49.71333333
26,2016,6/24/2016 - 6/30/2016,43.57,48.43,46,46
27,2016,7/1/2016 - 7/7/2016,35.57,46,45.29,42.28666667
28,2016,7/8/2016 - 7/14/2016,33.71,37.14,35.71,35.52
29,2016,7/15/2016 - 7/21/2016,39,48.29,58,48.43
30,2016,7/22/2016 - 7/28/2016,38.57,52.71,54.71,48.66333333
31,2016,7/29/2016 - 8/4/2016,33,38.43,36.43,35.95333333
32,2016,8/5/2016 - 8/11/2016,34.43,43.43,42.71,40.19
33,2016,8/12/2016 - 8/18/2016,31.43,43.57,44.71,39.90333333
34,2016,8/19/2016 - 8/25/2016,35.86,44.43,45.14,41.81
35,2016,8/26/2016 - 9/1/2016,36.29,42.71,38.71,39.23666667
36,2016,9/2/2016 - 9/8/2016,27.29,33.43,30.43,30.38333333
37,2016,9/9/2016 - 9/15/2016,34.71,39.43,38.57,37.57
38,2016,9/16/2016 - 9/22/2016,29,34,31.29,31.43
39,2016,9/23/2016 - 9/29/2016,28.86,33.71,31.71,31.42666667
40,2016,9/30/2016 - 10/6/2016,22.86,24.29,24,23.71666667
41,2016,10/7/2016 - 10/13/2016,23.86,27.14,25,25.33333333
42,2016,10/14/2016 - 10/20/2016,29,30.14,30.86,30
43,2016,10/21/2016 - 10/27/2016,21.29,22.14,22.29,21.90666667
44,2016,10/28/2016 - 11/3/2016,21.43,22.86,20.57,21.62
45,2016,11/4/2016 - 11/10/2016,22.14,23.29,19.43,21.62
46,2016,11/11/2016 - 11/17/2016,28.57,29,22.71,26.76
47,2016,11/18/2016 - 11/24/2016,24.14,24.14,21.86,23.38
48,2016,11/25/2016 - 12/1/2016,18.57,20.57,17.86,19
49,2016,12/2/2016 - 12/8/2016,20.71,20.71,18.14,19.85333333
50,2016,12/9/2016 - 12/15/2016,22.86,22.14,18.86,21.28666667
