Week,Year,Date,Average of Rockland PM2.5 AQI Value,Average of White Plain PM2.5 AQI Value,Average of Maspeth PM2.5 AQI Value,Average of Queens PM2.5 AQI Value,Average of cluster 1 PM2.5 AQI Value
1,2016,1/1/2016 - 1/7/2016,40.2,42.67,44.67,26,38.385
2,2016,1/8/2016 - 1/14/2016,40.29,42.71,44.29,33.57,40.215
3,2016,1/15/2016 - 1/21/2016,36.86,38.43,41.43,29.43,36.5375
4,2016,1/22/2016 - 1/28/2016,35.43,38.57,37.57,25.43,34.25
5,2016,1/29/2016 - 2/4/2016,37.29,38.29,39.71,32.43,36.93
6,2016,2/5/2016 - 2/11/2016,29.71,31.86,32.86,29,30.8575
7,2016,2/12/2016 - 2/18/2016,27.14,30.43,33.43,24.43,28.8575
8,2016,2/19/2016 - 2/25/2016,23.43,25.14,26,18.86,23.3575
9,2016,2/26/2016 - 3/3/2016,25.86,31.29,30.57,26.14,28.465
10,2016,3/4/2016 - 3/10/2016,36.86,38.29,39.43,44.14,39.68
11,2016,3/11/2016 - 3/17/2016,21.86,22.71,28,25.14,24.4275
12,2016,3/18/2016 - 3/24/2016,19,21.29,23.71,20.29,21.0725
13,2016,3/25/2016 - 3/31/2016,22.86,22.14,23,21.86,22.465
14,2016,4/1/2016 - 4/7/2016,19.29,21.71,25.29,19.14,21.3575
15,2016,4/8/2016 - 4/14/2016,19.14,19.43,28.14,18.71,21.355
16,2016,4/15/2016 - 4/21/2016,22.43,22.29,22.29,22.43,22.36
17,2016,4/22/2016 - 4/28/2016,28.29,26.14,27.29,30.29,28.0025
18,2016,4/29/2016 - 5/5/2016,11.4,14.14,11.86,22.75,15.0375
19,2016,5/6/2016 - 5/12/2016,12.43,13.14,18.43,18.57,15.6425
20,2016,5/13/2016 - 5/19/2016,19.29,16,22.57,28.14,21.5
21,2016,5/20/2016 - 5/26/2016,24.14,21.71,26,32.57,26.105
22,2016,5/27/2016 - 6/2/2016,42.14,40.71,36.57,40,39.855
23,2016,6/3/2016 - 6/9/2016,20.14,18.57,18.14,26.71,20.89
24,2016,6/10/2016 - 6/16/2016,18.5,16.86,21.57,21,19.4825
25,2016,6/17/2016 - 6/23/2016,31.86,23.86,28.43,31.14,28.8225
26,2016,6/24/2016 - 6/30/2016,24.43,27,26.71,33,27.785
27,2016,7/1/2016 - 7/7/2016,21.86,21.86,26.14,30.43,25.0725
28,2016,7/8/2016 - 7/14/2016,22.14,18.86,18.86,24.71,21.1425
29,2016,7/15/2016 - 7/21/2016,23.86,31.43,30.29,34.14,29.93
30,2016,7/22/2016 - 7/28/2016,42.5,28.43,29.71,36.14,34.195
31,2016,7/29/2016 - 8/4/2016,21.14,34.71,26.57,40.71,30.7825
32,2016,8/5/2016 - 8/11/2016,19,19.71,20.57,26.29,21.3925
33,2016,8/12/2016 - 8/18/2016,23.14,22.14,28,33.14,26.605
34,2016,8/19/2016 - 8/25/2016,17,21.43,19.57,24.86,20.715
35,2016,8/26/2016 - 9/1/2016,24.86,22.14,21,27.43,23.8575
36,2016,9/2/2016 - 9/8/2016,12.14,11.86,18.14,20.57,15.6775
37,2016,9/9/2016 - 9/15/2016,30,29.43,29.43,31,29.965
38,2016,9/16/2016 - 9/22/2016,15,11.14,15.29,17.86,14.8225
39,2016,9/23/2016 - 9/29/2016,15.43,15.29,19.86,19.43,17.5025
40,2016,9/30/2016 - 10/6/2016,10.86,10.86,15.86,17.43,13.7525
41,2016,10/7/2016 - 10/13/2016,15.14,15.14,18.57,17.71,16.64
42,2016,10/14/2016 - 10/20/2016,26.86,31.43,33.29,31.57,30.7875
43,2016,10/21/2016 - 10/27/2016,14.14,12.43,19.29,13.71,14.8925
44,2016,10/28/2016 - 11/3/2016,19.57,22,26.14,23.86,22.8925
45,2016,11/4/2016 - 11/10/2016,22,27.14,31,28,27.035
46,2016,11/11/2016 - 11/17/2016,26.71,24,29,24.71,26.105
47,2016,11/18/2016 - 11/24/2016,23.29,22.57,25,21.43,23.0725
48,2016,11/25/2016 - 12/1/2016,27.14,27.71,32.57,32.71,30.0325
49,2016,12/2/2016 - 12/8/2016,18.71,20.71,26.86,18.29,21.1425
50,2016,12/9/2016 - 12/15/2016,30.29,34,37.14,35.83,34.315
51,2016,12/16/2016 - 12/22/2016,32,33.43,39.43,32.33,34.2975
52,2016,12/23/2016 - 12/29/2016,33.43,36.57,36.71,25.29,33
1,2017,12/30/2016 - 1/5/2017,33,33.57,35.29,16.29,29.5375
2,2017,1/6/2017 - 1/12/2017,41.29,40.29,42,25.29,37.2175
3,2017,1/13/2017 - 1/19/2017,38.86,40.71,43,31.86,38.6075
4,2017,1/20/2017 - 1/26/2017,27,28.57,33.29,26.43,28.8225
5,2017,1/27/2017 - 2/2/2017,25.4,32.5,35.5,20,28.35
6,2017,2/3/2017 - 2/9/2017,37.86,30.29,39.86,39.8,36.9525
7,2017,2/10/2017 - 2/16/2017,30.71,29.57,34,28.29,30.6425
8,2017,2/17/2017 - 2/23/2017,33.14,32.86,34.71,22.43,30.785
9,2017,2/24/2017 - 3/2/2017,31.86,31.57,30.14,27.14,30.1775
10,2017,3/3/2017 - 3/9/2017,23.86,23.29,38.2,14.71,25.015
11,2017,3/10/2017 - 3/16/2017,17.86,18,25,15.14,19
12,2017,3/17/2017 - 3/23/2017,22.57,20.71,29.14,19,22.855
13,2017,3/24/2017 - 3/30/2017,20.57,22,25.86,28.14,24.1425
14,2017,3/31/2017 - 4/6/2017,12.86,12.86,17.43,18.29,15.36
15,2017,4/7/2017 - 4/13/2017,23.43,23.14,28.29,22.71,24.3925
16,2017,4/14/2017 - 4/20/2017,16.57,16.29,18.14,17.57,17.1425
17,2017,4/21/2017 - 4/27/2017,12.14,10.71,15.71,18.71,14.3175
18,2017,4/28/2017 - 5/4/2017,17.29,21.83,23.43,26,22.1375
19,2017,5/5/2017 - 5/11/2017,10,9.43,13.86,16.29,12.395
20,2017,5/12/2017 - 5/18/2017,16.86,11.43,17.43,23.43,17.2875
21,2017,5/19/2017 - 5/25/2017,23.43,20,22.86,,22.09666667
22,2017,5/26/2017 - 6/1/2017,11.57,6.57,9.57,11.86,9.8925
23,2017,6/2/2017 - 6/8/2017,9.57,8,17.71,20,13.82
24,2017,6/9/2017 - 6/15/2017,30.86,32.86,39.71,37.86,35.3225
25,2017,6/16/2017 - 6/22/2017,18.71,16.57,21.14,24.43,20.2125
26,2017,6/23/2017 - 6/29/2017,18.71,17.43,20.71,26.71,20.89
27,2017,6/30/2017 - 7/6/2017,27.86,25.86,34.29,39.43,31.86
28,2017,7/7/2017 - 7/13/2017,22.71,22.71,23.71,34.86,25.9975
29,2017,7/14/2017 - 7/20/2017,22.57,20.29,24.14,29.14,24.035
30,2017,7/21/2017 - 7/27/2017,21.71,21,28.14,35,26.4625
31,2017,7/28/2017 - 8/3/2017,21,20.57,28.86,32.43,25.715
32,2017,8/4/2017 - 8/10/2017,20.86,16.71,23,24,21.1425
33,2017,8/11/2017 - 8/17/2017,29.86,20.86,25.29,29.86,26.4675
34,2017,8/18/2017 - 8/24/2017,29.86,31,31.29,33.86,31.5025
35,2017,8/25/2017 - 8/31/2017,20.29,13.43,20.14,22.14,19
36,2017,9/1/2017 - 9/7/2017,25.5,25.17,27.83,25.4,25.975
37,2017,9/8/2017 - 9/14/2017,11.4,10.4,22,23.8,16.9
38,2017,9/15/2017 - 9/21/2017,26.14,29,27.29,34.43,29.215
39,2017,9/22/2017 - 9/28/2017,26.43,22,23,24.29,23.93
40,2017,9/29/2017 - 10/5/2017,12.57,14.29,19.14,18.14,16.035
41,2017,10/6/2017 - 10/12/2017,21.57,22.43,27.14,27.43,24.6425
42,2017,10/13/2017 - 10/19/2017,15.29,14.71,20.86,19,17.465
43,2017,10/20/2017 - 10/26/2017,21.57,23.57,28,27,25.035
44,2017,10/27/2017 - 11/2/2017,20.14,20.57,21.57,17.71,19.9975
45,2017,11/3/2017 - 11/9/2017,17.57,18.71,20.86,16.57,18.4275
46,2017,11/10/2017 - 11/16/2017,24,23.14,22.71,24.86,23.6775
47,2017,11/17/2017 - 11/23/2017,22.14,22.43,25.43,18,22
