Week,Date,Average of Queens PM2.5 AQI Value,Average of Bronx PM2.5 AQI Value,Average of cluster 1 PM2.5 AQI Value
1,1/1/2016 - 1/7/2016,50.43,53.57,52
2,1/8/2016 - 1/14/2016,41.71,44.57,43.14
3,1/15/2016 - 1/21/2016,40,40.86,40.43
4,1/22/2016 - 1/28/2016,41.29,45.43,43.36
5,1/29/2016 - 2/4/2016,38.57,47.29,42.93
6,2/5/2016 - 2/11/2016,37,38.86,37.93
7,2/12/2016 - 2/18/2016,33.43,36.57,35
8,2/19/2016 - 2/25/2016,26,29.29,27.645
9,2/26/2016 - 3/3/2016,33.57,34.71,34.14
10,3/4/2016 - 3/10/2016,52.29,55,53.645
11,3/11/2016 - 3/17/2016,23.57,24.57,24.07
12,3/18/2016 - 3/24/2016,26.71,31.29,29
13,3/25/2016 - 3/31/2016,23.57,29.71,26.64
14,4/1/2016 - 4/7/2016,21.57,23.14,22.355
15,4/8/2016 - 4/14/2016,28,24.43,26.215
16,4/15/2016 - 4/21/2016,25,31.14,28.07
17,4/22/2016 - 4/28/2016,30.14,36.57,33.355
18,4/29/2016 - 5/5/2016,16.29,18.71,17.5
19,5/6/2016 - 5/12/2016,26.43,28.29,27.36
20,5/13/2016 - 5/19/2016,26.29,24.57,25.43
21,5/20/2016 - 5/26/2016,40.29,35,37.645
22,5/27/2016 - 6/2/2016,35.86,38.43,37.145
23,6/3/2016 - 6/9/2016,25.71,27.57,26.64
24,6/10/2016 - 6/16/2016,30,26.86,28.43
25,6/17/2016 - 6/23/2016,33.71,33.71,33.71
26,6/24/2016 - 6/30/2016,32.86,29.43,31.145
27,7/1/2016 - 7/7/2016,36.57,38,37.285
28,7/8/2016 - 7/14/2016,23.86,28.71,26.285
29,7/15/2016 - 7/21/2016,38.29,35.57,36.93
30,7/22/2016 - 7/28/2016,40.43,40.57,40.5
31,7/29/2016 - 8/4/2016,34.86,36.43,35.645
32,8/5/2016 - 8/11/2016,32.43,32.14,32.285
33,8/12/2016 - 8/18/2016,32.14,29.14,30.64
34,8/19/2016 - 8/25/2016,28.86,29.71,29.285
35,8/26/2016 - 9/1/2016,34.14,31.71,32.925
36,9/2/2016 - 9/8/2016,21.29,21.14,21.215
37,9/9/2016 - 9/15/2016,29,29.57,29.285
38,9/16/2016 - 9/22/2016,23.14,28,25.57
39,9/23/2016 - 9/29/2016,19.29,21.71,20.5
40,9/30/2016 - 10/6/2016,22.86,22,22.43
41,10/7/2016 - 10/13/2016,22,26.14,24.07
42,10/14/2016 - 10/20/2016,34.43,33.86,34.145
43,10/21/2016 - 10/27/2016,15.86,19,17.43
44,10/28/2016 - 11/3/2016,32.57,36.14,34.355
45,11/4/2016 - 11/10/2016,30.43,28.14,29.285
46,11/11/2016 - 11/17/2016,36.29,34.57,35.43
47,11/18/2016 - 11/24/2016,26.57,29.29,27.93
48,11/25/2016 - 12/1/2016,36.43,38.43,37.43
49,12/2/2016 - 12/8/2016,30.86,32.29,31.575
50,12/9/2016 - 12/15/2016,42.14,38,40.07
51,12/16/2016 - 12/22/2016,45.14,45.71,45.425
52,12/23/2016 - 12/29/2016,36,36.86,36.43
1,12/30/2016 - 1/5/2017,36.43,38.86,37.645
2,1/6/2017 - 1/12/2017,44.43,47,45.715
3,1/13/2017 - 1/19/2017,45.71,47.29,46.5
4,1/20/2017 - 1/26/2017,37.86,40.71,39.285
5,1/27/2017 - 2/2/2017,34.29,35,34.645
6,2/3/2017 - 2/9/2017,42.43,48.43,45.43
7,2/10/2017 - 2/16/2017,37.71,45.29,41.5
8,2/17/2017 - 2/23/2017,40.86,45,42.93
9,2/24/2017 - 3/2/2017,28.29,34.14,31.215
10,3/3/2017 - 3/9/2017,39.29,32.29,35.79
11,3/10/2017 - 3/16/2017,22.86,25,23.93
12,3/17/2017 - 3/23/2017,28.71,27.86,28.285
13,3/24/2017 - 3/30/2017,32,32.71,32.355
14,3/31/2017 - 4/6/2017,24,22.86,23.43
15,4/7/2017 - 4/13/2017,31.43,32.29,31.86
16,4/14/2017 - 4/20/2017,25,24.57,24.785
17,4/21/2017 - 4/27/2017,22.14,17.86,20
