Date wo Year	Date 20	Ozone 20	PM25 20	Date 19	Ozone 19	PM25 19	Date 18	Ozone 18	PM25 18	Date 17	Ozone 17	PM25 17	Date 16	Ozone 16	PM25 16	Avg Ozone	confidence Ozone	upper Ozone	lower Ozone	Avg PM25	confidence PM25	upper PM25	lower PM25
1/1/1900	1/1/2020	31	36	1/1/2019	30	45	1/1/2018	35	51	1/1/2017	34	59	1/1/2016	32	50	32.75	2.172968737	34.92296874	30.57703126	51.25	5.679106269	56.92910627	45.57089373
1/2/1900	1/2/2020	31	56	1/2/2019	29	64	1/2/2018	33	56	1/2/2017	33	60	1/2/2016	31	63	31.5	1.876522649	33.37652265	29.62347735	60.75	3.522032194	64.27203219	57.22796781
1/3/1900	1/3/2020	19	68	1/3/2019	26	54	1/3/2018	29	69	1/3/2017	32	43	1/3/2016	29	73	29	2.400455838	31.40045584	26.59954416	59.75	13.56428662	73.31428662	46.18571338
1/4/1900	1/4/2020	28	59	1/4/2019	20	60	1/4/2018	32	52	1/4/2017	32	46	1/4/2016	30	48	28.5	5.629567947	34.12956795	22.87043205	51.5	6.067452543	57.56745254	45.43254746
1/5/1900	1/5/2020	33	37	1/5/2019	26	50	1/5/2018	36	48	1/5/2017	32	49	1/5/2016	31	59	31.25	4.030653743	35.28065374	27.21934626	51.5	4.964812259	56.46481226	46.53518774
1/6/1900	1/6/2020	31	47	1/6/2019	33	51	1/6/2018	35	46	1/6/2017	31	53	1/6/2016	30	68	32.25	2.172968737	34.42296874	30.07703126	54.5	9.279692985	63.77969299	45.22030701
1/7/1900	1/7/2020	29	72	1/7/2019	33	36	1/7/2018	35	52	1/7/2017	32	53	1/7/2016	21	96	30.25	6.165584826	36.41558483	24.08441517	59.25	25.19367063	84.44367063	34.05632937
1/8/1900	1/8/2020	33	47	1/8/2019	29	75	1/8/2018	27	69	1/8/2017	33	54	1/8/2016	31	77	30	2.530302624	32.53030262	27.46969738	68.75	10.19605214	78.94605214	58.55394786
1/9/1900	1/9/2020	30	43	1/9/2019	27	38	1/9/2018	33	75	1/9/2017	30	52	1/9/2016	31	63	30.25	2.449954981	32.69995498	27.80004502	57	15.4535009	72.4535009	41.5464991
1/10/1900	1/10/2020	32	50	1/10/2019	33	42	1/10/2018	25	64	1/10/2017	36	57	1/10/2016	33	39	31.75	4.622565812	36.37256581	27.12743419	50.5	11.71888019	62.21888019	38.78111981
1/11/1900	1/11/2020	36	52	1/11/2019	38	45	1/11/2018	32	95	1/11/2017	34	54	1/11/2016	33	45	34.25	2.577309167	36.82730917	31.67269083	59.75	23.40187969	83.15187969	36.34812031
1/12/1900	1/12/2020	32	40	1/12/2019	35	43	1/12/2018	32	55	1/12/2017	31	56	1/12/2016	31	55	32.25	1.855075972	34.10507597	30.39492403	52.25	6.060853898	58.3108539	46.1891461
1/13/1900	1/13/2020	21	51	1/13/2019	35	42	1/13/2018	33	44	1/13/2017	40	44	1/13/2016	36	48	36	2.88498887	38.88498887	33.11501113	44.5	2.46623393	46.96623393	42.03376607
1/14/1900	1/14/2020	20	60	1/14/2019	33	42	1/14/2018	37	43	1/14/2017	31	44	1/14/2016	26	61	31.75	4.481922402	36.2319224	27.2680776	47.5	8.856059183	56.35605918	38.64394082
1/15/1900	1/15/2020	28	62	1/15/2019	30	59	1/15/2018	33	58	1/15/2017	36	58	1/15/2016	28	105	31.75	3.429936973	35.17993697	28.32006303	70	22.87091259	92.87091259	47.12908741
1/16/1900	1/16/2020	31	55	1/16/2019	34	67	1/16/2018	25	69	1/16/2017	31	62	1/16/2016	31	52	30.25	3.699350896	33.9493509	26.5506491	62.5	7.441843275	69.94184328	55.05815672
1/17/1900	1/17/2020	37	37	1/17/2019	34	44	1/17/2018	26	62	1/17/2017	24	81	1/17/2016	34	42	29.5	5.154618335	34.65461833	24.34538167	57.25	17.84491329	75.09491329	39.40508671
1/18/1900	1/18/2020	34	32	1/18/2019	31	71	1/18/2018	31	58	1/18/2017	31	53	1/18/2016	32	51	31.25	0.489990996	31.739991	30.760009	58.25	8.815299809	67.06529981	49.43470019
