,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
0,1/1/1900,1/1/2020,31,36,1/1/2019,30,45,1/1/2018,35,51,1/1/2017,34,59,1/1/2016,32,50,32.75,1.823612851,2.172968737,2.855765001,51.25,4.766056223,5.679106269,7.463610791,1-Jan,1-Jan
1,1/2/1900,1/2/2020,31,56,1/2/2019,29,64,1/2/2018,33,56,1/2/2017,33,60,1/2/2016,31,63,31.5,1.574827451,1.876522649,2.4661688,60.75,2.955782593,3.522032194,4.628734918,2-Jan, 
2,1/3/1900,1/3/2020,19,68,1/3/2019,26,54,1/3/2018,29,69,1/3/2017,32,43,1/3/2016,29,73,29,2.014526044,2.400455838,3.154733729,59.75,11.38350817,13.56428662,17.82649438,3-Jan, 
3,1/4/1900,1/4/2020,28,59,1/4/2019,20,60,1/4/2018,32,52,1/4/2017,32,46,1/4/2016,30,48,28.5,4.724482352,5.629567947,7.398506401,51.5,5.09196669,6.067452543,7.973984309,4-Jan, 
4,1/5/1900,1/5/2020,33,37,1/5/2019,26,50,1/5/2018,36,48,1/5/2017,32,49,1/5/2016,31,59,31.25,3.382631253,4.030653743,5.297176941,51.5,4.166601792,4.964812259,6.524869336,5-Jan, 
5,1/6/1900,1/6/2020,31,47,1/6/2019,33,51,1/6/2018,35,46,1/6/2017,31,53,1/6/2016,30,68,32.25,1.823612851,2.172968737,2.855765001,54.5,7.787763849,9.279692985,12.19558385,6-Jan, 
6,1/7/1900,1/7/2020,29,72,1/7/2019,33,36,1/7/2018,35,52,1/7/2017,32,53,1/7/2016,21,96,30.25,5.174321897,6.165584826,8.10295199,59.25,21.14319489,25.19367063,33.11009569,7-Jan, 
7,1/8/1900,1/8/2020,33,47,1/8/2019,29,75,1/8/2018,27,69,1/8/2017,33,54,1/8/2016,31,77,30,2.123496901,2.530302624,3.325381332,68.75,8.556796698,10.19605214,13.39988393,8-Jan, 
8,1/9/1900,1/9/2020,30,43,1/9/2019,27,38,1/9/2018,33,75,1/9/2017,30,52,1/9/2016,31,63,30.25,2.056067034,2.449954981,3.219786629,57,12.96898678,15.4535009,20.30934281,9-Jan, 
9,1/10/1900,1/10/2020,32,50,1/10/2019,33,42,1/10/2018,25,64,1/10/2017,36,57,1/10/2016,33,39,31.75,3.87937952,4.622565812,6.075081262,50.5,9.834794278,11.71888019,15.40121922,10-Jan, 
10,1/11/1900,1/11/2020,36,52,1/11/2019,38,45,1/11/2018,32,95,1/11/2017,34,54,1/11/2016,33,45,34.25,2.162946036,2.577309167,3.387158402,59.75,19.63947654,23.40187969,30.75528323,11-Jan, 
