date, pm25, o3, no2, co
2020/5/2, 8, 34, 6, 1
2020/5/3, 12, 43, 5, 2
2020/5/4, 27, 36, 11, 1
2020/5/5, 14, 37, 10, 1
2020/5/6, 12, 32, 16, 1
2020/5/7, 12, 37, 16, 2
2020/5/8, 12, , , 
2020/5/9, 13, , , 
2020/5/10, 9, 39, 2, 1
2020/5/11, 12, 29, 10, 1
2020/5/12, 18, 37, 8, 1
2020/5/13, 10, 33, 13, 1
2020/5/14, 17, 40, 16, 3
2020/5/15, 23, 46, 16, 2
2020/5/16, 39, 38, 6, 1
2020/5/17, 18, 38, 2, 1
2020/5/18, 6, 38, 11, 
2020/5/19, 9, 34, 8, 
2020/5/20, 10, 34, 9, 
2020/5/21, 10, 30, 12, 
2020/5/22, 15, 31, 10, 
2020/5/23, 19, 25, 6, 
2020/5/24, 9, , , 
2020/5/25, 18, , , 
2020/5/26, 16, , , 
2020/4/2, 12, , , 
2020/4/3, 10, , , 
2020/4/4, 8, , , 
2020/4/5, 9, , , 
2020/4/6, 28, , , 
2020/4/7, 17, , , 
2020/4/8, 16, , , 
2020/4/9, 31, , , 
2020/4/10, 11, , , 
2020/4/11, 9, , , 
2020/4/12, 13, , , 
2020/4/13, 28, , , 
2020/4/14, 18, , , 
2020/4/15, 11, 34, , 
2020/4/16, 11, 33, 5, 1
2020/4/17, 14, 36, 8, 1
2020/4/18, 17, 32, 7, 2
2020/4/19, 13, 43, 12, 2
2020/4/20, 23, 35, 10, 2
2020/4/21, 19, 32, , 2
2020/4/22, 18, , , 
2020/4/25, 16, , , 
2020/4/26, 22, , , 
2020/4/27, 10, , , 
2020/4/28, 5, , , 
2020/4/29, 17, , , 
2020/4/30, 20, , , 
2020/5/1, 19, 33, 11, 2
2020/3/2, 31, , , 
2020/3/3, 39, , , 
2020/3/4, 37, , , 
2020/3/5, 20, , , 
2020/3/6, 20, , , 
2020/3/7, 21, , , 
2020/3/14, 25, , , 
2020/3/15, 21, , , 
2020/3/16, 16, , , 
2020/3/17, 16, , , 
2020/3/18, 21, , , 
2020/3/19, 20, , , 
2020/3/20, 12, , , 
2020/3/21, 28, , , 
2020/3/22, 13, , , 
2020/3/23, 21, , , 
2020/3/24, 10, , , 
2020/3/25, 11, , , 
2020/3/26, 16, , , 
2020/3/27, 21, , , 
2020/3/28, 26, , , 
2020/3/29, 18, , , 
2020/3/30, 9, , , 
2020/3/31, 15, , , 
2020/4/1, 7, , , 
2020/2/2, 38, , , 
2020/2/3, 37, , , 
2020/2/4, 41, , , 
2020/2/5, 53, , , 
2020/2/6, 56, , , 
2020/2/7, 24, , , 
2020/2/8, 21, , , 
2020/2/9, 34, , , 
2020/2/10, 32, , , 
2020/2/11, 23, , , 
2020/2/12, 32, , , 
2020/2/13, 29, , , 
2020/2/14, 31, , , 
2020/2/15, 32, , , 
2020/2/16, 21, , , 
2020/2/17, 33, , , 
2020/2/18, 40, , , 
2020/2/19, 35, , , 
2020/2/20, 30, , , 
2020/2/21, 24, , , 
2020/2/22, 23, , , 
2020/2/23, 30, , , 
2020/2/25, 39, , , 
2020/2/26, 36, , , 
2020/1/2, 30, , , 
2020/1/3, 49, , , 
2020/1/4, 58, , , 
2020/1/5, 47, , , 
2020/1/6, 28, , , 
2020/1/7, 42, , , 
2020/1/8, 43, , , 
2020/1/9, 45, , , 
2020/1/10, 35, , , 
2020/1/11, 38, , , 
2020/1/12, 44, , , 
2020/1/13, 37, , , 
2020/1/14, 38, , , 
2020/1/15, 43, , , 
2020/1/16, 49, , , 
2020/1/17, 37, , , 
2020/1/18, 34, , , 
2020/1/19, 21, , , 
2020/1/20, 34, , , 
2020/1/21, 30, , , 
2020/1/22, 34, , , 
2020/1/23, 44, , , 
2020/1/24, 57, , , 
2020/1/25, 58, , , 
2020/1/26, 25, , , 
2020/1/27, 27, , , 
2020/1/28, 30, , , 
2020/1/29, 23, , , 
2020/1/30, 26, , , 
2020/1/31, 29, , , 
2020/2/1, 32, , , 
2019/10/2, 21, 44, 11, 2
2019/10/3, 46, 15, 7, 2
2019/10/4, 4, 7, 12, 2
2019/10/5, 7, , , 
2019/10/6, 5, , , 
2019/10/7, 13, , , 
2019/10/8, 16, , , 
2019/10/9, 11, , , 
2019/10/10, 12, , , 
2019/10/11, 7, , , 
2019/10/12, 9, , , 
2019/10/13, 20, , , 
2019/10/14, 16, , , 
2019/10/15, 24, , , 
2019/10/16, 23, , , 
2019/10/17, 15, , , 
2019/10/18, 10, , , 
2019/10/19, 15, , , 
2019/10/20, 21, , , 
2019/10/21, 31, , , 
2019/10/22, 26, , , 
