date, pm25, o3, no2, co
2020/5/2, 11, 34, 4, 1
2020/5/3, 13, 43, 6, 2
2020/5/4, 26, 36, 4, 1
2020/5/5, 19, 37, 5, 1
2020/5/6, 9, 32, 8, 1
2020/5/7, 17, 40, 10, 2
2020/5/8, 18, 31, 8, 1
2020/5/9, 20, 25, 2, 1
2020/5/10, 8, 39, 4, 1
2020/5/11, 12, 29, 9, 1
2020/5/12, 19, 37, 4, 1
2020/5/13, 12, 33, 9, 1
2020/5/14, 15, 40, 17, 3
2020/5/15, 23, 46, 16, 2
2020/5/16, 41, 38, 5, 1
2020/5/17, 17, 38, 2, 1
2020/5/18, 9, 38, 3, 
2020/5/19, 14, 34, 2, 
2020/5/20, 15, 34, 3, 
2020/5/21, 12, 30, 10, 
2020/5/22, 18, 31, 10, 
2020/5/23, 18, 31, 4, 
2020/5/24, 15, 31, 2, 
2020/5/25, 23, 24, 3, 
2020/5/26, 22, , , 
2020/4/2, 14, 33, 5, 1
2020/4/3, 11, 28, 5, 1
2020/4/4, 6, 32, 4, 1
2020/4/5, 8, 25, 12, 2
2020/4/6, 34, 34, 9, 2
2020/4/7, 20, 37, 8, 1
2020/4/8, 17, 34, 10, 2
2020/4/9, 42, 36, 7, 1
2020/4/10, 22, 30, 4, 1
2020/4/11, 9, 36, 4, 1
2020/4/12, 10, 39, 14, 2
2020/4/13, 28, 36, 4, 1
2020/4/14, 20, 36, 5, 1
2020/4/15, 15, 36, 5, 1
2020/4/16, 18, 33, 5, 1
2020/4/17, 19, 36, 8, 1
2020/4/18, 27, 32, 7, 2
2020/4/19, 21, 43, 12, 2
2020/4/20, 31, 34, 10, 2
2020/4/21, 14, 32, , 2
2020/4/22, 17, 32, , 
2020/4/23, 6, 29, , 
2020/4/24, 27, 29, 10, 2
2020/4/25, 16, 39, 16, 4
2020/4/26, 29, 34, 4, 1
2020/4/27, 17, 29, 6, 1
2020/4/28, 7, 30, 9, 1
2020/4/29, 15, 36, 12, 2
2020/4/30, 25, 40, 2, 1
2020/5/1, 21, 42, 7, 1
2020/3/2, 18, 24, 24, 3
2020/3/3, 38, 25, 20, 3
2020/3/4, 54, 31, 8, 2
2020/3/5, 21, 26, 10, 2
2020/3/6, 20, 30, 16, 2
2020/3/7, 23, 31, 7, 2
2020/3/8, 11, 30, 13, 2
2020/3/9, 15, 31, 24, 3
2020/3/10, 43, 29, 19, 3
2020/3/11, 36, 27, 5, 2
2020/3/12, 19, 28, 11, 2
2020/3/13, 28, 32, 7, 1
2020/3/14, 16, 30, 5, 1
2020/3/15, 8, 33, 5, 1
2020/3/16, 11, 31, 5, 1
2020/3/17, 13, 26, 11, 2
2020/3/18, 22, 33, 11, 2
2020/3/19, 25, 27, 10, 2
2020/3/20, 16, 33, 14, 2
2020/3/21, 38, 34, 3, 1
2020/3/22, 8, 34, 3, 1
2020/3/23, 16, 30, 7, 1
2020/3/24, 16, 32, 8, 2
2020/3/25, 11, 30, 6, 1
2020/3/26, 15, 30, 11, 2
2020/3/27, 25, 38, 15, 2
2020/3/28, 25, 30, 9, 2
2020/3/29, 16, 33, 3, 1
2020/3/30, 11, 27, 9, 1
2020/3/31, 19, 34, 5, 1
