date, pm25, o3, no2, co
1/1/2016,26, , , 
1/3/2016, ,22, , 
1/4/2016,48,23, , 
1/5/2016,37,22, , 
1/6/2016,47,9, , 
1/7/2016,43,8, , 
1/8/2016,56,23, , 
1/9/2016,49,21, , 
1/10/2016,51,27, , 
1/11/2016,19,27, , 
1/12/2016,33,23, , 
1/13/2016,36,28, , 
1/14/2016,38,20, , 
1/15/2016,48,11, , 
1/16/2016,58,24, , 
1/17/2016,41,26, , 
1/18/2016,30,26, , 
1/19/2016,33,28, , 
1/20/2016,25,28, , 
1/21/2016,23,29, , 
1/22/2016,28,30, , 
1/23/2016,20,29, , 
1/24/2016,24,29, , 
1/25/2016,39,25, , 
1/26/2016,52,19, , 
1/27/2016,52,23, , 
1/28/2016,33,20, , 
1/29/2016,32,22, , 
1/30/2016,43,23, , 
1/31/2016,42,17, , 
2/1/2016,53,28, , 
2/2/2016,37,28, , 
2/3/2016,28,21, , 
2/4/2016,26,25, , 
2/5/2016,24,29, , 
2/6/2016,22,27, , 
2/7/2016,32,26, , 
2/8/2016,46,32, , 
2/9/2016,23,25, , 
2/10/2016,27,22, , 
2/11/2016,34,32, , 
2/12/2016,23,29, , 
2/13/2016,20,30, , 
2/14/2016,30,24, , 
2/15/2016,28,12, , 
2/16/2016,42,30, , 
2/17/2016,19,25, , 
2/18/2016,28,30, , 
2/19/2016,19,25, , 
2/20/2016,26,32, , 
2/21/2016,35,29, , 
2/22/2016,29,29, , 
2/23/2016,21,24, , 
2/24/2016,26,23, , 
2/25/2016,8,23, , 
2/26/2016,17,30, , 
2/27/2016,24,29, , 
2/28/2016,27,33, , 
2/29/2016,36,31, , 
3/1/2016,33,30, , 
3/2/2016,18,30, , 
3/3/2016,26,30, , 
3/4/2016,18,27, , 
3/5/2016,26,31, , 
3/6/2016,20,32, , 
3/7/2016,27,30, , 
3/8/2016,50,25, , 
3/9/2016,60,46, , 
3/10/2016,57,38, , 
3/11/2016,55,29, , 
3/12/2016,12,28, , 
3/13/2016,20,34, , 
3/14/2016,28,30, , 
3/15/2016,15,29, , 
3/16/2016,6,25, , 
3/17/2016,17,34, , 
3/18/2016,12,29, , 
3/19/2016,14,33, , 
3/20/2016,13,33, , 
3/21/2016,15,35, , 
3/22/2016,17,35, , 
3/23/2016,22,35, , 
3/24/2016,40,37, , 
3/25/2016,38,31, , 
3/26/2016,34,31, , 
3/27/2016,19,30, , 
3/28/2016,25,34, , 
3/29/2016,10,37, , 
3/30/2016,16,31, , 
3/31/2016,18,40, , 
4/1/2016,27,35, , 
4/2/2016,24,31, , 
4/3/2016,16,32, , 
4/4/2016,20,28, , 
4/5/2016,17,35, , 
4/6/2016,17,33, , 
4/7/2016,14,32, , 
4/8/2016,16,31, , 
4/9/2016,12,33, , 
4/10/2016,19,33, , 
4/11/2016,17,32, , 
4/12/2016,31,32, , 
4/13/2016,25,34, , 
4/14/2016,14,35, , 
4/15/2016,18,36, , 
4/16/2016,21,39, , 
4/17/2016,24,42, , 
4/18/2016,26,46, , 
4/19/2016,30,43, , 
4/20/2016,25,42, , 
4/21/2016,13,48, , 
4/22/2016,26,49, , 
4/23/2016,67,31, , 
4/24/2016,25,38, , 
4/25/2016,16,37, , 
4/26/2016,28,28, , 
4/27/2016,23,33, , 
4/28/2016,13,34, , 
4/29/2016,16,36, , 
4/30/2016,17,41, , 
5/1/2016,17, , , 
5/2/2016, ,16, , 
5/3/2016, ,16, , 
5/4/2016,3,22, , 
5/5/2016,4,25, , 
5/6/2016,4,23, , 
5/7/2016,7,20, , 
5/8/2016,6,31, , 
5/9/2016,11,40, , 
5/10/2016,28,32, , 
5/11/2016,9,40, , 
5/12/2016,22,50, , 
5/13/2016,27,21, , 
5/14/2016,47,38, , 
5/15/2016,14,25, , 
5/16/2016,6,35, , 
5/17/2016,10,35, , 
5/18/2016,18,35, , 
5/19/2016,13,37, , 
5/20/2016,21,38, , 
5/21/2016,14,32, , 
5/22/2016,18,36, , 
5/23/2016,20,35, , 
5/24/2016,31,33, , 
5/25/2016,19,70, , 
5/26/2016,46,73, , 
5/27/2016,62,55, , 
5/28/2016,67,42, , 
5/29/2016,50,49, , 
5/30/2016,44,32, , 
5/31/2016,24,44, , 
6/1/2016,27,50, , 
6/2/2016,21,43, , 
6/3/2016,20,26, , 
6/4/2016,32,47, , 
6/5/2016,36,20, , 
6/6/2016,15,39, , 
6/7/2016,14,41, , 
6/8/2016,16,23, , 
6/9/2016,8,36, , 
6/10/2016,8,34, , 
6/11/2016,9,49, , 
6/12/2016,36,36, , 
6/13/2016,35, , , 
6/14/2016, ,29, , 
6/15/2016,9,30, , 
6/16/2016,14,33, , 
6/17/2016,47,45, , 
6/18/2016,27,46, , 
6/19/2016,26,55, , 
6/20/2016,52,66, , 
6/21/2016,42,39, , 
6/22/2016,19,38, , 
6/23/2016,10,56, , 
6/24/2016,29,51, , 
6/25/2016,22,53, , 
6/26/2016,26,54, , 
6/27/2016,32,53, , 
6/28/2016,31,29, , 
6/29/2016,21,35, , 
6/30/2016,10,30, , 
7/1/2016,13,38, , 
7/2/2016,28,27, , 
7/3/2016,11,28, , 
7/4/2016,14,42, , 
7/5/2016,40,29, , 
7/6/2016,16,41, , 
7/7/2016,31,44, , 
7/8/2016,45,41, , 
7/9/2016,33,20, , 
7/10/2016,13,23, , 
7/11/2016,7,25, , 
7/12/2016,10,54, , 
7/13/2016,22,41, , 
7/14/2016,25,32, , 
7/15/2016,29,43, , 
7/16/2016,28,50, , 
7/17/2016,30,39, , 
7/18/2016,27,33, , 
7/19/2016,29,27, , 
7/20/2016,13,29, , 
7/21/2016,11,52, , 
7/22/2016,32,56, , 
7/23/2016,58,37, , 
7/24/2016,33,30, , 
7/25/2016,36,37, , 
7/26/2016,83,29, , 
7/27/2016, ,30, , 
7/28/2016,13,51, , 
7/29/2016,33,42, , 
7/30/2016,32,36, , 
7/31/2016,30,28, , 
8/1/2016,20,29, , 
8/2/2016,11,23, , 
8/3/2016,10,35, , 
8/4/2016,12,38, , 
8/5/2016,17,41, , 
8/6/2016,22,33, , 
8/7/2016,26,24, , 
8/8/2016,9,27, , 
8/9/2016,12,57, , 
8/10/2016,23,25, , 
8/11/2016,24,34, , 
8/12/2016,28,30, , 
8/13/2016,30,38, , 
8/14/2016,36,26, , 
8/15/2016,15,27, , 
8/16/2016,17,42, , 
8/17/2016,28,25, , 
8/18/2016,8,32, , 
8/19/2016,15,29, , 
8/20/2016,24,40, , 
8/21/2016,23,36, , 
8/22/2016,23,25, , 
8/23/2016,4,30, , 
8/24/2016,6,46, , 
8/25/2016,24,45, , 
8/26/2016,37,31, , 
8/27/2016,25,37, , 
8/28/2016,24,50, , 
8/29/2016,26,30, , 
8/30/2016,13,41, , 
8/31/2016,16,40, , 
9/1/2016,33,25, , 
9/2/2016,31,22, , 
9/3/2016,5,22, , 
