date, pm25, o3, no2, co
2020/5/2, 10, 33, , 1
2020/5/3, 17, 42, 10, 2
2020/5/4, 25, 35, 7, 1
2020/5/5, 14, 37, 6, 1
2020/5/6, 9, 31, 11, 1
2020/5/7, 8, 37, 9, 1
2020/5/8, 13, 32, 11, 1
2020/5/9, 10, 25, 4, 1
2020/5/10, 7, 39, 6, 1
2020/5/11, 11, 32, 13, 1
2020/5/12, 13, 37, 6, 1
2020/5/13, 9, 38, 11, 1
2020/5/14, 10, 42, 18, 1
2020/5/15, 17, 78, 13, 2
2020/5/16, 38, 37, 4, 1
2020/5/17, 12, 41, , 1
2020/5/18, 9, 38, , 1
2020/5/19, 13, 35, , 1
2020/5/20, 13, 35, , 1
2020/5/21, 8, 36, , 1
2020/5/22, 16, 34, , 1
2020/5/23, 17, 29, , 1
2020/5/24, 14, 33, , 1
2020/5/25, 18, 23, , 
2020/5/26, 9, , , 
2020/4/2, 17, 33, , 1
2020/4/3, 9, 29, , 1
2020/4/4, 8, 34, , 1
2020/4/5, 15, 27, , 2
2020/4/6, 34, 35, , 1
2020/4/7, 16, 41, , 1
2020/4/8, 16, 33, , 2
2020/4/9, 29, 35, , 1
2020/4/10, 14, 32, , 1
2020/4/11, 12, , , 1
2020/4/12, 18, , , 2
2020/4/13, 32, 36, , 1
2020/4/14, 20, 36, 8, 1
2020/4/15, 16, 37, 7, 1
2020/4/16, 16, 33, 8, 1
2020/4/17, 17, 38, 12, 2
2020/4/18, 18, 32, 10, 2
2020/4/24, 12, 31, 15, 1
2020/4/25, 12, 39, 26, 2
2020/4/26, 22, 35, , 1
2020/4/27, 11, 31, , 1
2020/4/28, 6, 35, , 1
2020/4/29, 13, 35, , 1
2020/4/30, 18, 36, , 1
2020/5/1, 15, 40, , 1
2020/3/2, 22, 4, 24, 3
2020/3/3, 39, , 23, 3
2020/3/10, 31, 12, , 3
2020/3/11, 40, , , 2
2020/3/19, 21, 30, , 1
2020/3/20, 10, 33, , 2
2020/3/21, 27, 35, , 1
2020/3/22, 18, 34, , 1
2020/3/23, 25, 32, , 1
2020/3/24, 10, 33, , 1
2020/3/25, 15, 30, , 1
2020/3/26, 18, 32, , 2
2020/3/27, 25, 38, , 2
2020/3/28, 26, 36, , 1
2020/3/29, 19, 35, , 1
2020/3/30, 9, 28, , 2
2020/3/31, 15, 34, , 1
2020/4/1, 11, 36, , 1
2020/2/2, 33, 23, , 3
2020/2/3, 38, 27, , 4
2020/2/4, 35, 6, , 7
2020/2/5, 50, 28, , 4
2020/2/6, 16, 24, , 2
2020/2/7, 12, 14, , 3
2020/2/8, 13, , , 
2020/2/11, 33, 11, , 
2020/2/12, 22, 26, , 
2020/2/13, 34, , , 
2020/2/19, 22, 32, , 2
2020/2/20, 25, 27, , 1
2020/2/21, 20, , , 
2020/3/1, 27, 33, , 2
2020/1/2, 32, 17, , 4
2020/1/3, 47, 3, , 6
2020/1/4, 56, 7, , 6
2020/1/5, 43, 26, , 1
2020/1/6, 31, 20, , 3
2020/1/7, 31, 20, , 3
2020/1/8, 33, 27, , 2
2020/1/9, 39, 23, , 2
2020/1/10, 34, 16, , 4
2020/1/11, 38, 26, , 3
2020/1/12, 43, 27, , 1
2020/1/13, 36, 18, , 3
2020/1/14, 37, 13, , 3
2020/1/15, 36, 21, , 4
2020/1/16, 44, 25, , 2
2020/1/17, 37, 30, , 1
2020/1/18, 31, 26, , 2
2020/1/19, 25, 21, , 2
2020/1/20, 32, 32, , 1
2020/1/21, 29, 30, , 2
2020/1/22, 31, 22, , 6
2020/1/23, 39, 9, , 9
2020/1/24, 54, 19, , 8
2020/1/25, 54, 30, , 2
2020/1/26, 23, 17, , 3
2020/1/27, 24, 17, , 3
2020/1/28, 27, 28, , 1
2020/1/29, 21, 31, , 2
2020/1/30, 24, 26, , 2
2020/1/31, 30, 18, , 4
2020/2/1, 33, 17, , 4
2019/10/2, 24, 39, 13, 3
2019/10/3, 44, 17, 11, 2
2019/10/4, 4, 22, 8, 2
2019/10/5, 4, 28, 5, 2
2019/10/6, 8, 25, , 2
2019/10/7, 12, 26, , 2
2019/10/8, 14, 22, , 2
2019/10/9, 12, 16, , 2
2019/10/10, 9, 30, , 2
2019/10/11, 5, 28, , 2
2019/10/12, 5, 24, , 3
2019/10/13, 16, 28, , 3
2019/10/14, 18, 37, , 4
2019/10/15, 26, 25, , 3
2019/10/16, 19, 36, , 2
2019/10/17, 15, 24, , 1
2019/10/18, 12, 20, , 1
2019/10/19, 9, 25, , 3
2019/10/20, 20, 21, , 7
2019/10/21, 35, 31, , 4
2019/10/22, 23, 22, , 2
2019/10/23, 12, 29, , 2
2019/10/24, 17, 27, , 3
2019/10/25, 24, 19, , 6
2019/10/26, 36, 28, , 2
2019/10/27, 25, 28, , 2
2019/10/28, 11, 23, , 2
2019/10/29, 13, 23, , 1
2019/10/30, 6, 21, , 2
2019/10/31, 6, 24, , 2
2019/11/1, 13, 26, , 1
2019/11/2, 15, 21, , 3
2019/11/3, 17, 22, , 2
2019/11/4, 27, 23, , 3
2019/11/5, 20, 18, , 3
2019/11/6, 39, 26, , 2
2019/11/7, 19, 18, , 3
2019/11/8, 30, 23, , 2
2019/11/9, 9, 17, , 
