Week,Date,Orange,Manhattan,Westchester,Average
1,1/1/2015 - 1/7/2015,38.57142857,57.42857143,46.28571429,47.42857143
2,1/8/2015 - 1/14/2015,44.42857143,61.85714286,50.42857143,52.23809524
3,1/15/2015 - 1/21/2015,40.14285714,57,46.16666667,47.76984127
4,1/22/2015 - 1/28/2015,40.42857143,56.42857143,42.28571429,46.38095238
5,1/29/2015 - 2/4/2015,38.85714286,54.28571429,40.85714286,44.66666667
6,2/5/2015 - 2/11/2015,39.71428571,65.71428571,43.42857143,49.61904762
7,2/12/2015 - 2/18/2015,41.14285714,61,42.28571429,48.14285714
8,2/19/2015 - 2/25/2015,39.71428571,57.85714286,44.14285714,47.23809524
9,2/26/2015 - 3/4/2015,43.42857143,59,43.28571429,48.57142857
10,3/5/2015 - 3/11/2015,40.57142857,61.42857143,45.42857143,49.14285714
11,3/12/2015 - 3/18/2015,20.28571429,40.28571429,21.85714286,27.47619048
12,3/19/2015 - 3/25/2015,28.42857143,44.42857143,26.42857143,33.0952381
13,3/26/2015 - 4/1/2015,16.71428571,32.85714286,20.42857143,23.33333333
14,4/2/2015 - 4/8/2015,28.85714286,44.28571429,31.28571429,34.80952381
15,4/9/2015 - 4/15/2015,18.71428571,36.57142857,20.14285714,25.14285714
16,4/16/2015 - 4/22/2015,14.85714286,31.42857143,17,21.0952381
17,4/23/2015 - 4/29/2015,7.428571429,16.85714286,7.142857143,10.47619048
18,4/30/2015 - 5/6/2015,30,38.42857143,29,32.47619048
19,5/7/2015 - 5/13/2015,40.85714286,49.14285714,39.85714286,43.28571429
20,5/14/2015 - 5/20/2015,28.42857143,40.85714286,31.42857143,33.57142857
21,5/21/2015 - 5/27/2015,35,38.28571429,33.14285714,35.47619048
22,5/28/2015 - 6/3/2015,17,25.71428571,18.33333333,20.34920635
23,6/4/2015 - 6/10/2015,17.83333333,32,21,23.61111111
24,6/11/2015 - 6/17/2015,31.85714286,48.28571429,35.14285714,38.42857143
25,6/18/2015 - 6/24/2015,21.14285714,35.71428571,22.85714286,26.57142857
26,6/25/2015 - 7/1/2015,18.42857143,29.28571429,20,22.57142857
27,7/2/2015 - 7/8/2015,44.42857143,51,43.42857143,46.28571429
28,7/9/2015 - 7/15/2015,32.71428571,47.71428571,37.28571429,39.23809524
29,7/16/2015 - 7/22/2015,21.85714286,39.85714286,30.14285714,30.61904762
30,7/23/2015 - 7/29/2015,30.85714286,41.85714286,32.71428571,35.14285714
31,7/30/2015 - 8/5/2015,22.33333333,40.14285714,35.57142857,32.68253968
32,8/6/2015 - 8/12/2015,12.42857143,23.42857143,13.28571429,16.38095238
33,8/13/2015 - 8/19/2015,35.14285714,46.14285714,35,38.76190476
34,8/20/2015 - 8/26/2015,26.25,29.14285714,27.14285714,27.51190476
35,8/27/2015 - 9/2/2015,39.85714286,48.71428571,43.28571429,43.95238095
36,9/3/2015 - 9/9/2015,44.85714286,45.14285714,41.14285714,43.71428571
37,9/10/2015 - 9/16/2015,18.28571429,29.42857143,20.28571429,22.66666667
38,9/17/2015 - 9/23/2015,22.14285714,31.42857143,22.57142857,25.38095238
39,9/24/2015 - 9/30/2015,15.71428571,26.28571429,11.28571429,17.76190476
40,10/1/2015 - 10/7/2015,10.5,21.85714286,10,14.11904762
41,10/8/2015 - 10/14/2015,22.71428571,34.28571429,25.85714286,27.61904762
42,10/15/2015 - 10/21/2015,18.42857143,30.71428571,24,24.38095238
43,10/22/2015 - 10/28/2015,17.28571429,29.42857143,18.85714286,21.85714286
44,10/29/2015 - 11/4/2015,26.14285714,44.28571429,30,33.47619048
45,11/5/2015 - 11/11/2015,28,39.85714286,27,31.61904762
46,11/12/2015 - 11/18/2015,20.85714286,35.14285714,22.85714286,26.28571429
47,11/19/2015 - 11/25/2015,20,36,25.42857143,27.14285714
48,11/26/2015 - 12/2/2015,25.71428571,48.71428571,25.71428571,33.38095238
49,12/3/2015 - 12/9/2015,46,55.57142857,42.42857143,48
50,12/10/2015 - 12/16/2015,42.28571429,56.42857143,44.85714286,47.85714286
51,12/17/2015 - 12/23/2015,28.28571429,44.42857143,31.14285714,34.61904762
52,12/24/2015 - 12/30/2015,25.85714286,43.42857143,28.42857143,32.57142857
1,12/31/2015 - 1/6/2016,38.42857143,56.14285714,42.42857143,45.66666667
2,1/7/2016 - 1/13/2016,35.5,58.42857143,43.28571429,45.73809524
3,1/14/2016 - 1/20/2016,35.71428571,51,39,41.9047619
4,1/21/2016 - 1/27/2016,35.14285714,57.14285714,39.28571429,43.85714286
5,1/28/2016 - 2/3/2016,37.57142857,58.42857143,39.57142857,45.19047619
6,2/4/2016 - 2/10/2016,27.28571429,54.85714286,31.85714286,38
7,2/11/2016 - 2/17/2016,28.85714286,49.28571429,30.28571429,36.14285715
8,2/18/2016 - 2/24/2016,21.85714286,47.28571429,25,31.38095238
9,2/25/2016 - 3/2/2016,22.14285714,47,32.42857143,33.85714286
10,3/3/2016 - 3/9/2016,35.42857143,55.14285714,38.42857143,43
11,3/10/2016 - 3/16/2016,19.57142857,37.85714286,21.85714286,26.42857143
12,3/17/2016 - 3/23/2016,15.57142857,29.57142857,21.42857143,22.19047619
13,3/24/2016 - 3/30/2016,19.28571429,33.14285714,21.57142857,24.66666667
14,3/31/2016 - 4/6/2016,17.5,34.71428571,20.85714286,24.35714286
15,4/7/2016 - 4/13/2016,13.85714286,30.28571429,18.57142857,20.90476191
16,4/14/2016 - 4/20/2016,19.85714286,30.42857143,22,24.0952381
17,4/21/2016 - 4/27/2016,23.85714286,38.71428571,24.71428571,29.09523809
18,4/28/2016 - 5/4/2016,9.857142857,26,10.42857143,15.42857143
19,5/5/2016 - 5/11/2016,6.857142857,27.85714286,11.71428571,15.47619048
20,5/12/2016 - 5/18/2016,17.42857143,31.42857143,17.6,22.15238095
21,5/19/2016 - 5/25/2016,25.85714286,35.85714286,22.28571429,28
22,5/26/2016 - 6/1/2016,40.28571429,45.85714286,38.71428571,41.61904762
23,6/2/2016 - 6/8/2016,25.28571429,32.14285714,17.28571429,24.90476191
24,6/9/2016 - 6/15/2016,11.57142857,24.28571429,14.42857143,16.76190476
25,6/16/2016 - 6/22/2016,26.14285714,38.57142857,23,29.23809524
26,6/23/2016 - 6/29/2016,33.57142857,46.57142857,26.57142857,35.57142857
27,6/30/2016 - 7/6/2016,24.71428571,34.42857143,19.42857143,26.19047619
28,7/7/2016 - 7/13/2016,19.14285714,28.57142857,16.85714286,21.52380952
29,7/14/2016 - 7/20/2016,25.71428571,41.14285714,27,31.28571428
30,7/21/2016 - 7/27/2016,35.57142857,43.57142857,28.57142857,35.9047619
31,7/28/2016 - 8/3/2016,19.71428571,48.71428571,36.14285714,34.85714285
32,8/4/2016 - 8/10/2016,20.57142857,32.85714286,19.42857143,24.28571429
33,8/11/2016 - 8/17/2016,17.42857143,35.71428571,21.28571429,24.80952381
34,8/18/2016 - 8/24/2016,18.57142857,31.42857143,18.85714286,22.95238095
35,8/25/2016 - 8/31/2016,35.57142857,33.57142857,21.42857143,30.19047619
36,9/1/2016 - 9/7/2016,12,26.85714286,11.5,16.78571429
37,9/8/2016 - 9/14/2016,22.57142857,40.14285714,35,32.57142857
38,9/15/2016 - 9/21/2016,18.28571429,26.57142857,8.857142857,17.90476191
39,9/22/2016 - 9/28/2016,14.85714286,29.28571429,13.42857143,19.19047619
40,9/29/2016 - 10/5/2016,10.42857143,29.28571429,7.5,15.73809524
41,10/6/2016 - 10/12/2016,16.85714286,32.85714286,15,21.57142857
42,10/13/2016 - 10/19/2016,27.42857143,43.85714286,31.28571429,34.19047619
43,10/20/2016 - 10/26/2016,10.85714286,26.28571429,10.42857143,15.85714286
44,10/27/2016 - 11/2/2016,21.57142857,37.28571429,21.71428571,26.85714286
45,11/3/2016 - 11/9/2016,22,36.57142857,27.71428571,28.76190476
46,11/10/2016 - 11/16/2016,21.28571429,38.28571429,24.57142857,28.04761905
47,11/17/2016 - 11/23/2016,21.28571429,37,22.28571429,26.85714286
48,11/24/2016 - 11/30/2016,27.71428571,41.85714286,27.57142857,32.38095238
49,12/1/2016 - 12/7/2016,17.85714286,37.85714286,20.42857143,25.38095238
50,12/8/2016 - 12/14/2016,32.28571429,49.57142857,33.57142857,38.47619048
51,12/15/2016 - 12/21/2016,34.85714286,50.42857143,34.14285714,39.80952381
52,12/22/2016 - 12/28/2016,33.57142857,47.71428571,36.85714286,39.38095238
1,12/29/2016 - 1/4/2017,33,47.57142857,34.5,38.35714286
2,1/5/2017 - 1/11/2017,37,52.14285714,40.28571429,43.14285714
3,1/12/2017 - 1/18/2017,41.14285714,53,41.71428571,45.28571428
4,1/19/2017 - 1/25/2017,26.71428571,46,28.57142857,33.76190476
5,1/26/2017 - 2/1/2017,31.85714286,43.85714286,32,35.90476191
6,2/2/2017 - 2/8/2017,28.57142857,49,31,36.19047619
7,2/9/2017 - 2/15/2017,44.28571429,46.42857143,30.14285714,40.28571429
8,2/16/2017 - 2/22/2017,55.14285714,48,32.71428571,45.28571428
9,2/23/2017 - 3/1/2017,30,49,31.57142857,36.85714286
10,3/2/2017 - 3/8/2017,22.14285714,48.42857143,22.42857143,31
11,3/9/2017 - 3/15/2017,27.5,38.42857143,15.42857143,27.11904762
12,3/16/2017 - 3/22/2017,25.66666667,45,20.71428571,30.46031746
13,3/23/2017 - 3/29/2017,27.14285714,48.71428571,21.71428571,32.52380952
14,3/30/2017 - 4/5/2017,11.28571429,31.57142857,12.2,18.35238095
15,4/6/2017 - 4/12/2017,20.14285714,41.42857143,36,32.52380952
16,4/13/2017 - 4/19/2017,17.85714286,26.14285714,15.57142857,19.85714286
17,4/20/2017 - 4/26/2017,7.714285714,29.14285714,8.428571429,15.09523809
18,4/27/2017 - 5/3/2017,16.14285714,34.71428571,22.4,24.41904762
19,5/4/2017 - 5/10/2017,8.857142857,23.57142857,8.333333333,13.58730159
20,5/11/2017 - 5/17/2017,9,26.71428571,17.25,17.6547619
21,5/18/2017 - 5/24/2017,20.42857143,35.57142857,18.14285714,24.71428571
22,5/25/2017 - 5/31/2017,5.428571429,23.42857143,3.428571429,10.76190476
23,6/1/2017 - 6/7/2017,6.2,28.42857143,6.285714286,13.63809524
24,6/8/2017 - 6/14/2017,30.28571429,47.85714286,32.42857143,36.85714286
25,6/15/2017 - 6/21/2017,18.85714286,33.28571429,17.8,23.31428572
26,6/22/2017 - 6/28/2017,14.71428571,32,16.71428571,21.14285714
27,6/29/2017 - 7/5/2017,31.57142857,42.14285714,25.28571429,33
28,7/6/2017 - 7/12/2017,24.71428571,36.57142857,21.33333333,27.53968254
29,7/13/2017 - 7/19/2017,21.85714286,33.85714286,19.42857143,25.04761905
30,7/20/2017 - 7/26/2017,28.71428571,43.14285714,19,30.28571428
31,7/27/2017 - 8/2/2017,24.71428571,42.57142857,20.28571429,29.19047619
32,8/3/2017 - 8/9/2017,16.71428571,32,16,21.57142857
33,8/10/2017 - 8/16/2017,29,40.28571429,20.28571429,29.85714286
34,8/17/2017 - 8/23/2017,27.5,44.14285714,29.42857143,33.69047619
35,8/24/2017 - 8/30/2017,30.66666667,28.28571429,12.71428571,23.88888889
36,8/31/2017 - 9/6/2017,19.66666667,38.85714286,25.14285714,27.88888889
37,9/7/2017 - 9/13/2017,23.66666667,30.57142857,10.28571429,21.50793651
38,9/14/2017 - 9/20/2017,29.71428571,44,28.28571429,34
