Month,Orange,Manhattan,Westchester,Average
1,38.26623377,52.91612903,38.77631579,43.31955953
2,34.14184397,50.02836879,32.19285714,38.78768997
3,24.47368421,42.15483871,23.79470199,30.14107497
4,17.66442953,32.22,17.70138889,22.52860614
5,21.31788079,34.41290323,20.03424658,25.2550102
6,21.0137931,33.65333333,19.11888112,24.59533585
7,29.00662252,41.62580645,26.83660131,32.48967676
8,26.73049645,37.10322581,21.67785235,28.5038582
9,20.9020979,32.07333333,17,23.32514374
10,17.55194805,29.42580645,16.69480519,21.22418656
11,24.43243243,36.94,23.94557823,28.43933689
12,32.58709677,46.19354839,30.81818182,36.53294233
