Week,Date,Manhattan,Brooklyn,Average
1,1/1/2015 - 1/7/2015,57.42857143,43.14285714,50.28571429
2,1/8/2015 - 1/14/2015,61.85714286,48.57142857,55.21428572
3,1/15/2015 - 1/21/2015,57,46.28571429,51.64285715
4,1/22/2015 - 1/28/2015,56.42857143,41,48.71428572
5,1/29/2015 - 2/4/2015,54.28571429,45.14285714,49.71428572
6,2/5/2015 - 2/11/2015,65.71428571,46,55.85714286
7,2/12/2015 - 2/18/2015,61,43.14285714,52.07142857
8,2/19/2015 - 2/25/2015,57.85714286,44.28571429,51.07142858
9,2/26/2015 - 3/4/2015,59,46.57142857,52.78571429
10,3/5/2015 - 3/11/2015,61.42857143,51.28571429,56.35714286
11,3/12/2015 - 3/18/2015,40.28571429,22.57142857,31.42857143
12,3/19/2015 - 3/25/2015,44.42857143,27.71428571,36.07142857
13,3/26/2015 - 4/1/2015,32.85714286,27.14285714,30
14,4/2/2015 - 4/8/2015,44.28571429,32.57142857,38.42857143
15,4/9/2015 - 4/15/2015,36.57142857,21.42857143,29
16,4/16/2015 - 4/22/2015,31.42857143,24.42857143,27.92857143
17,4/23/2015 - 4/29/2015,16.85714286,13.85714286,15.35714286
18,4/30/2015 - 5/6/2015,38.42857143,33,35.71428572
19,5/7/2015 - 5/13/2015,49.14285714,41.28571429,45.21428572
20,5/14/2015 - 5/20/2015,40.85714286,35.28571429,38.07142858
21,5/21/2015 - 5/27/2015,38.28571429,32.28571429,35.28571429
22,5/28/2015 - 6/3/2015,25.71428571,17,21.35714286
23,6/4/2015 - 6/10/2015,32,24,28
24,6/11/2015 - 6/17/2015,48.28571429,45.28571429,46.78571429
25,6/18/2015 - 6/24/2015,35.71428571,26.42857143,31.07142857
26,6/25/2015 - 7/1/2015,29.28571429,23.57142857,26.42857143
27,7/2/2015 - 7/8/2015,51,43.85714286,47.42857143
28,7/9/2015 - 7/15/2015,47.71428571,42,44.85714286
29,7/16/2015 - 7/22/2015,39.85714286,33.71428571,36.78571429
30,7/23/2015 - 7/29/2015,41.85714286,38.57142857,40.21428572
31,7/30/2015 - 8/5/2015,40.14285714,29.85714286,35
32,8/6/2015 - 8/12/2015,23.42857143,15.71428571,19.57142857
33,8/13/2015 - 8/19/2015,46.14285714,36.42857143,41.28571429
34,8/20/2015 - 8/26/2015,29.14285714,20.42857143,24.78571429
35,8/27/2015 - 9/2/2015,48.71428571,42.85714286,45.78571429
36,9/3/2015 - 9/9/2015,45.14285714,36.85714286,41
37,9/10/2015 - 9/16/2015,29.42857143,22.14285714,25.78571429
38,9/17/2015 - 9/23/2015,31.42857143,28,29.71428572
39,9/24/2015 - 9/30/2015,26.28571429,15.57142857,20.92857143
40,10/1/2015 - 10/7/2015,21.85714286,15.14285714,18.5
41,10/8/2015 - 10/14/2015,34.28571429,27.42857143,30.85714286
42,10/15/2015 - 10/21/2015,30.71428571,22.42857143,26.57142857
43,10/22/2015 - 10/28/2015,29.42857143,25.28571429,27.35714286
44,10/29/2015 - 11/4/2015,44.28571429,35.57142857,39.92857143
45,11/5/2015 - 11/11/2015,39.85714286,30.42857143,35.14285715
46,11/12/2015 - 11/18/2015,35.14285714,23.14285714,29.14285714
47,11/19/2015 - 11/25/2015,36,25.85714286,30.92857143
48,11/26/2015 - 12/2/2015,48.71428571,31.71428571,40.21428571
49,12/3/2015 - 12/9/2015,55.57142857,48.14285714,51.85714286
50,12/10/2015 - 12/16/2015,56.42857143,51.71428571,54.07142857
51,12/17/2015 - 12/23/2015,44.42857143,32.28571429,38.35714286
52,12/24/2015 - 12/30/2015,43.42857143,34.71428571,39.07142857
1,12/31/2015 - 1/6/2016,56.14285714,41.42857143,48.78571429
2,1/7/2016 - 1/13/2016,58.42857143,45,51.71428572
3,1/14/2016 - 1/20/2016,51,41.14285714,46.07142857
4,1/21/2016 - 1/27/2016,57.14285714,38,47.57142857
