"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2015","63","","Intermediate School 143","36-061-0115","AQS"
"01/02/2015","66","","Intermediate School 143","36-061-0115","AQS"
"01/03/2015","56","","PS 19","36-061-0128","AQS"
"01/04/2015","55","","Intermediate School 143","36-061-0115","AQS"
"01/05/2015","45","","Intermediate School 143","36-061-0115","AQS"
"01/06/2015","57","","Intermediate School 143","36-061-0115","AQS"
"01/07/2015","60","","Intermediate School 143","36-061-0115","AQS"
"01/08/2015","54","","Intermediate School 143","36-061-0115","AQS"
"01/09/2015","56","","Intermediate School 143","36-061-0115","AQS"
"01/10/2015","60","","Intermediate School 143","36-061-0115","AQS"
"01/11/2015","60","","Intermediate School 143","36-061-0115","AQS"
"01/12/2015","68","","Intermediate School 143","36-061-0115","AQS"
"01/13/2015","56","","Intermediate School 143","36-061-0115","AQS"
"01/14/2015","79","","PS 19","36-061-0128","AQS"
"01/15/2015","64","","Intermediate School 143","36-061-0115","AQS"
"01/16/2015","62","","Intermediate School 143","36-061-0115","AQS"
"01/17/2015","47","","Intermediate School 143","36-061-0115","AQS"
"01/18/2015","74","","Intermediate School 143","36-061-0115","AQS"
"01/19/2015","47","","Intermediate School 143","36-061-0115","AQS"
"01/20/2015","44","","Intermediate School 143","36-061-0115","AQS"
"01/21/2015","61","","PS 19","36-061-0128","AQS"
"01/22/2015","57","","DIVISION STREET","36-061-0134","AQS"
"01/23/2015","60","","Intermediate School 143","36-061-0115","AQS"
"01/24/2015","64","","PS 19","36-061-0128","AQS"
"01/25/2015","50","","Intermediate School 143","36-061-0115","AQS"
"01/26/2015","68","","PS 19","36-061-0128","AQS"
"01/27/2015","42","","Intermediate School 143","36-061-0115","AQS"
"01/28/2015","54","","Intermediate School 143","36-061-0115","AQS"
"01/29/2015","49","","Intermediate School 143","36-061-0115","AQS"
"01/30/2015","49","","Intermediate School 143","36-061-0115","AQS"
"01/31/2015","40","","Intermediate School 143","36-061-0115","AQS"
"02/01/2015","58","","Intermediate School 143","36-061-0115","AQS"
"02/02/2015","61","","PS 19","36-061-0128","AQS"
"02/03/2015","54","","Intermediate School 143","36-061-0115","AQS"
"02/04/2015","69","","Intermediate School 143","36-061-0115","AQS"
"02/05/2015","84","","PS 19","36-061-0128","AQS"
"02/06/2015","53","","Intermediate School 143","36-061-0115","AQS"
"02/07/2015","72","","Intermediate School 143","36-061-0115","AQS"
"02/08/2015","81","","DIVISION STREET","36-061-0134","AQS"
"02/09/2015","61","","PS 19","36-061-0128","AQS"
"02/10/2015","51","","Intermediate School 143","36-061-0115","AQS"
"02/11/2015","58","","PS 19","36-061-0128","AQS"
"02/12/2015","58","","Intermediate School 143","36-061-0115","AQS"
"02/13/2015","58","","Intermediate School 143","36-061-0115","AQS"
"02/14/2015","56","","Intermediate School 143","36-061-0115","AQS"
"02/15/2015","60","","Intermediate School 143","36-061-0115","AQS"
"02/16/2015","49","","Intermediate School 143","36-061-0115","AQS"
"02/17/2015","78","","PS 19","36-061-0128","AQS"
"02/18/2015","68","","Intermediate School 143","36-061-0115","AQS"
"02/19/2015","54","","Intermediate School 143","36-061-0115","AQS"
"02/20/2015","62","","Intermediate School 143","36-061-0115","AQS"
"02/21/2015","60","","Intermediate School 143","36-061-0115","AQS"
