Week,Year,Date,Average of city college of new york Ozone AQI Value,Average of cluster 2 Ozone AQI Value
1,2016,1/1/2016 - 1/7/2016,13,13
2,2016,1/8/2016 - 1/14/2016,20,20
3,2016,1/15/2016 - 1/21/2016,20.43,20.43
4,2016,1/22/2016 - 1/28/2016,18.57,18.57
5,2016,1/29/2016 - 2/4/2016,18.86,18.86
6,2016,2/5/2016 - 2/11/2016,19.29,19.29
7,2016,2/12/2016 - 2/18/2016,21.43,21.43
8,2016,2/19/2016 - 2/25/2016,21.71,21.71
9,2016,2/26/2016 - 3/3/2016,27.57,27.57
10,2016,3/4/2016 - 3/10/2016,26.57,26.57
11,2016,3/11/2016 - 3/17/2016,26.29,26.29
12,2016,3/18/2016 - 3/24/2016,31.43,31.43
13,2016,3/25/2016 - 3/31/2016,31,31
14,2016,4/1/2016 - 4/7/2016,29.86,29.86
15,2016,4/8/2016 - 4/14/2016,29.86,29.86
16,2016,4/15/2016 - 4/21/2016,39.71,39.71
17,2016,4/22/2016 - 4/28/2016,32.71,32.71
18,2016,4/29/2016 - 5/5/2016,27.57,27.57
19,2016,5/6/2016 - 5/12/2016,30.86,30.86
20,2016,5/13/2016 - 5/19/2016,30.71,30.71
21,2016,5/20/2016 - 5/26/2016,48.57,48.57
22,2016,5/27/2016 - 6/2/2016,46.57,46.57
23,2016,6/3/2016 - 6/9/2016,36.43,36.43
24,2016,6/10/2016 - 6/16/2016,34.86,34.86
25,2016,6/17/2016 - 6/23/2016,47.43,47.43
26,2016,6/24/2016 - 6/30/2016,45.14,45.14
27,2016,7/1/2016 - 7/7/2016,43.43,43.43
28,2016,7/8/2016 - 7/14/2016,31,31
29,2016,7/15/2016 - 7/21/2016,51.86,51.86
30,2016,7/22/2016 - 7/28/2016,52,52
31,2016,7/29/2016 - 8/4/2016,35.57,35.57
32,2016,8/5/2016 - 8/11/2016,40.86,40.86
33,2016,8/12/2016 - 8/18/2016,40.71,40.71
34,2016,8/19/2016 - 8/25/2016,43.57,43.57
35,2016,8/26/2016 - 9/1/2016,37.57,37.57
36,2016,9/2/2016 - 9/8/2016,31.29,31.29
37,2016,9/9/2016 - 9/15/2016,37.14,37.14
38,2016,9/16/2016 - 9/22/2016,29.71,29.71
39,2016,9/23/2016 - 9/29/2016,34.14,34.14
40,2016,9/30/2016 - 10/6/2016,21.43,21.43
41,2016,10/7/2016 - 10/13/2016,22.14,22.14
42,2016,10/14/2016 - 10/20/2016,27,27
43,2016,10/21/2016 - 10/27/2016,19.43,19.43
44,2016,10/28/2016 - 11/3/2016,19.57,19.57
45,2016,11/4/2016 - 11/10/2016,13.25,13.25
46,2016,11/11/2016 - 11/17/2016,22.43,22.43
47,2016,11/18/2016 - 11/24/2016,20.86,20.86
48,2016,11/25/2016 - 12/1/2016,15.86,15.86
49,2016,12/2/2016 - 12/8/2016,16.29,16.29
50,2016,12/9/2016 - 12/15/2016,17.86,17.86
51,2016,12/16/2016 - 12/22/2016,15.29,15.29
52,2016,12/23/2016 - 12/29/2016,19.43,19.43
1,2017,12/30/2016 - 1/5/2017,20.43,20.43
2,2017,1/6/2017 - 1/12/2017,19.57,19.57
3,2017,1/13/2017 - 1/19/2017,17.43,17.43
4,2017,1/20/2017 - 1/26/2017,16,16
5,2017,1/27/2017 - 2/2/2017,20.4,20.4
6,2017,2/3/2017 - 2/9/2017,19.86,19.86
7,2017,2/10/2017 - 2/16/2017,20.86,20.86
8,2017,2/17/2017 - 2/23/2017,24.29,24.29
9,2017,2/24/2017 - 3/2/2017,24.71,24.71
10,2017,3/3/2017 - 3/9/2017,27,27
11,2017,3/10/2017 - 3/16/2017,28.86,28.86
12,2017,3/17/2017 - 3/23/2017,33.71,33.71
13,2017,3/24/2017 - 3/30/2017,24.43,24.43
14,2017,3/31/2017 - 4/6/2017,30.71,30.71
15,2017,4/7/2017 - 4/13/2017,30.4,30.4
16,2017,4/14/2017 - 4/20/2017,32.86,32.86
17,2017,4/21/2017 - 4/27/2017,25.57,25.57
18,2017,4/28/2017 - 5/4/2017,34.43,34.43
19,2017,5/5/2017 - 5/11/2017,28.86,28.86
20,2017,5/12/2017 - 5/18/2017,39.86,39.86
21,2017,5/19/2017 - 5/25/2017,32.57,32.57
22,2017,5/26/2017 - 6/1/2017,29.86,29.86
23,2017,6/2/2017 - 6/8/2017,28.43,28.43
24,2017,6/9/2017 - 6/15/2017,50.57,50.57
25,2017,6/16/2017 - 6/22/2017,34.57,34.57
26,2017,6/23/2017 - 6/29/2017,37.57,37.57
27,2017,6/30/2017 - 7/6/2017,41.43,41.43
