Week,Year,Date,Average of city college of new york PM2.5 AQI Value,Average of public-school 314 PM2.5 AQI Value,Average of public-school 274 PM2.5 AQI Value,Average of cluster 2 PM2.5 AQI Value
1,2016,1/1/2016 - 1/7/2016,42.33,43,41.5,42.27666667
2,2016,1/8/2016 - 1/14/2016,45.14,42,42,43.04666667
3,2016,1/15/2016 - 1/21/2016,43.43,40.43,37.86,40.57333333
4,2016,1/22/2016 - 1/28/2016,41.86,35.43,35.71,37.66666667
5,2016,1/29/2016 - 2/4/2016,45.57,39.86,38.29,41.24
6,2016,2/5/2016 - 2/11/2016,34.29,34,32.57,33.62
7,2016,2/12/2016 - 2/18/2016,34.29,30.86,34,33.05
8,2016,2/19/2016 - 2/25/2016,33.29,26.43,27.86,29.19333333
9,2016,2/26/2016 - 3/3/2016,33.86,26,27.71,29.19
10,2016,3/4/2016 - 3/10/2016,46,38.86,39.86,41.57333333
11,2016,3/11/2016 - 3/17/2016,30,26.14,25.86,27.33333333
12,2016,3/18/2016 - 3/24/2016,25.14,22,21.43,22.85666667
13,2016,3/25/2016 - 3/31/2016,28.71,24,22.29,25
14,2016,4/1/2016 - 4/7/2016,27.29,21,22,23.43
15,2016,4/8/2016 - 4/14/2016,25.43,19,25,23.14333333
16,2016,4/15/2016 - 4/21/2016,25,24.57,24.57,24.71333333
17,2016,4/22/2016 - 4/28/2016,32.29,28.71,28.14,29.71333333
18,2016,4/29/2016 - 5/5/2016,18.71,13,13.43,15.04666667
19,2016,5/6/2016 - 5/12/2016,21.57,18.14,18.43,19.38
20,2016,5/13/2016 - 5/19/2016,25.57,22.29,21.86,23.24
21,2016,5/20/2016 - 5/26/2016,30.14,27,27.29,28.14333333
22,2016,5/27/2016 - 6/2/2016,42.14,34.29,36.14,37.52333333
23,2016,6/3/2016 - 6/9/2016,24.14,18.86,18.14,20.38
24,2016,6/10/2016 - 6/16/2016,21.29,28.43,19.14,22.95333333
25,2016,6/17/2016 - 6/23/2016,33.43,29.14,29.71,30.76
26,2016,6/24/2016 - 6/30/2016,29.57,29.86,28.57,29.33333333
27,2016,7/1/2016 - 7/7/2016,27.14,23.71,24.86,25.23666667
28,2016,7/8/2016 - 7/14/2016,24.86,18.43,19.71,21
29,2016,7/15/2016 - 7/21/2016,29.86,28.29,30.43,29.52666667
30,2016,7/22/2016 - 7/28/2016,32.71,28.71,27.43,29.61666667
31,2016,7/29/2016 - 8/4/2016,41.67,34.14,26.43,34.08
32,2016,8/5/2016 - 8/11/2016,26.86,22.14,20.57,23.19
33,2016,8/12/2016 - 8/18/2016,30.29,29.57,28.57,29.47666667
34,2016,8/19/2016 - 8/25/2016,26.86,19.71,20.14,22.23666667
35,2016,8/26/2016 - 9/1/2016,32.29,22.57,21.86,25.57333333
36,2016,9/2/2016 - 9/8/2016,22.86,17.43,17.71,19.33333333
37,2016,9/9/2016 - 9/15/2016,37,30.71,30.86,32.85666667
38,2016,9/16/2016 - 9/22/2016,22.29,16.86,17.29,18.81333333
39,2016,9/23/2016 - 9/29/2016,26,19.71,19.57,21.76
40,2016,9/30/2016 - 10/6/2016,24,16.57,18,19.52333333
41,2016,10/7/2016 - 10/13/2016,28.86,20.43,22.29,23.86
42,2016,10/14/2016 - 10/20/2016,35.43,31,33.29,33.24
43,2016,10/21/2016 - 10/27/2016,24.14,14.57,15.43,18.04666667
44,2016,10/28/2016 - 11/3/2016,33.71,20.86,24.71,26.42666667
45,2016,11/4/2016 - 11/10/2016,32.86,29.29,32.57,31.57333333
46,2016,11/11/2016 - 11/17/2016,35.71,26.43,29.29,30.47666667
47,2016,11/18/2016 - 11/24/2016,33.86,27,29,29.95333333
48,2016,11/25/2016 - 12/1/2016,40.86,33.29,31.86,35.33666667
49,2016,12/2/2016 - 12/8/2016,34.71,22.43,26.57,27.90333333
50,2016,12/9/2016 - 12/15/2016,41.57,32.43,34.86,36.28666667
51,2016,12/16/2016 - 12/22/2016,44.71,35.14,37.29,39.04666667
52,2016,12/23/2016 - 12/29/2016,45.71,35.43,37,39.38
1,2017,12/30/2016 - 1/5/2017,39,33.14,35.29,35.81
2,2017,1/6/2017 - 1/12/2017,44.29,39.14,42.14,41.85666667
3,2017,1/13/2017 - 1/19/2017,45.14,41.14,41.29,42.52333333
4,2017,1/20/2017 - 1/26/2017,36.14,32.14,32.57,33.61666667
5,2017,1/27/2017 - 2/2/2017,33.5,31.17,31.17,31.94666667
6,2017,2/3/2017 - 2/9/2017,35.57,39.86,39.43,38.28666667
7,2017,2/10/2017 - 2/16/2017,34.57,30.29,31.29,32.05
8,2017,2/17/2017 - 2/23/2017,38.57,34.14,32.43,35.04666667
9,2017,2/24/2017 - 3/2/2017,38.57,30.86,32.57,34
10,2017,3/3/2017 - 3/9/2017,28.57,24.43,25.57,26.19
11,2017,3/10/2017 - 3/16/2017,22.57,19.57,20.71,20.95
12,2017,3/17/2017 - 3/23/2017,30.43,29.14,29.14,29.57
13,2017,3/24/2017 - 3/30/2017,30.71,29.57,28.86,29.71333333
14,2017,3/31/2017 - 4/6/2017,20.86,17.71,17.29,18.62
15,2017,4/7/2017 - 4/13/2017,38.8,25,27.43,30.41
16,2017,4/14/2017 - 4/20/2017,19.14,18.14,17,18.09333333
17,2017,4/21/2017 - 4/27/2017,19.14,15.71,16,16.95
18,2017,4/28/2017 - 5/4/2017,26,24,22.57,24.19
19,2017,5/5/2017 - 5/11/2017,16.57,15.43,14,15.33333333
20,2017,5/12/2017 - 5/18/2017,20.86,16.43,16.29,17.86
21,2017,5/19/2017 - 5/25/2017,25.71,21.57,21.14,22.80666667
22,2017,5/26/2017 - 6/1/2017,12.86,9.29,8.43,10.19333333
23,2017,6/2/2017 - 6/8/2017,17.86,16.71,14.86,16.47666667
24,2017,6/9/2017 - 6/15/2017,38.71,36.86,39.57,38.38
25,2017,6/16/2017 - 6/22/2017,24.86,19.57,22.29,22.24
26,2017,6/23/2017 - 6/29/2017,25,22,21.86,22.95333333
27,2017,6/30/2017 - 7/6/2017,33.71,28.86,33.57,32.04666667
28,2017,7/7/2017 - 7/13/2017,28.57,24.29,24.57,25.81
29,2017,7/14/2017 - 7/20/2017,26.86,24.14,27.43,26.14333333
30,2017,7/21/2017 - 7/27/2017,29.43,30.43,30.57,30.14333333
31,2017,7/28/2017 - 8/3/2017,39.14,28.71,26.71,31.52
32,2017,8/4/2017 - 8/10/2017,25.43,23,24,24.14333333
33,2017,8/11/2017 - 8/17/2017,33.14,24.86,25.57,27.85666667
34,2017,8/18/2017 - 8/24/2017,36.29,30.29,31.71,32.76333333
35,2017,8/25/2017 - 8/31/2017,24.71,18.57,22.43,21.90333333
36,2017,9/1/2017 - 9/7/2017,31.83,25,27.5,28.11
37,2017,9/8/2017 - 9/14/2017,23.6,21.2,22.4,22.4
38,2017,9/15/2017 - 9/21/2017,37.14,29,29.29,31.81
39,2017,9/22/2017 - 9/28/2017,32.71,29.29,26.86,29.62
40,2017,9/29/2017 - 10/5/2017,22.86,16.57,16.86,18.76333333
