DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
1/1/1900,1/1/2020,35,8,1/1/2019,39,8,1/1/2018,36,21,1/1/2017,51,23,1/1/2016,47,8,43.25,5.712759221,6.807172469,8.946141081,15,6.681427018,7.961411341,10.46306809
1/2/1900,1/2/2020,38,14,1/2/2019,34,14,1/2/2018,35,15,1/2/2017,51,27,1/2/2016,47,9,41.75,7.022805889,8.368189355,10.99766502,16.25,6.276900234,7.479387948,9.829581972
1/3/1900,1/3/2020,53,16,1/3/2019,43,15,1/3/2018,57,33,1/3/2017,21,14,1/3/2016,36,7,39.25,12.31582437,14.67520988,19.28649503,17.25,9.118064253,10.86484369,14.278825
1/4/1900,1/4/2020,26,9,1/4/2019,39,25,1/4/2018,37,18,1/4/2017,34,14,1/4/2016,33,6,35.75,2.264786848,2.698659979,3.546640402,15.75,6.523491696,7.773219798,10.21574248
1/5/1900,1/5/2020,28,12,1/5/2019,56,27,1/5/2018,34,21,1/5/2017,36,18,1/5/2016,46,31,43,8.333203585,9.929624518,13.04973867,24.25,4.813129525,5.735197569,7.537327255
1/6/1900,1/6/2020,34,7,1/6/2019,39,10,1/6/2018,38,13,1/6/2017,53,23,1/6/2016,54,38,46,7.138235196,8.505731859,11.17842651,21,10.38127228,12.3700489,16.25699997
1/7/1900,1/7/2020,39,24,1/7/2019,25,15,1/7/2018,33,18,1/7/2017,56,12,1/7/2016,61,32,43.75,14.36110451,17.11231149,22.48938947,19.25,7.275107822,8.668825652,11.39276809
1/8/1900,1/8/2020,39,9,1/8/2019,44,26,1/8/2018,46,16,1/8/2017,35,10,1/8/2016,67,27,48,11.1357117,13.2690189,17.43844682,19.75,6.727665819,8.016508271,10.53547773
1/9/1900,1/9/2020,30,21,1/9/2019,27,7,1/9/2018,52,19,1/9/2017,43,29,1/9/2016,37,15,39.75,8.635481541,10.28981092,13.52310384,17.5,7.522695699,8.963844804,11.78048898
1/10/1900,1/10/2020,45,14,1/10/2019,33,8,1/10/2018,51,24,1/10/2017,47,24,1/10/2016,20,8,37.75,11.61874973,13.84459422,18.19488101,16,7.597253474,9.052685873,11.89724593
1/11/1900,1/11/2020,28,10,1/11/2019,34,25,1/11/2018,42,16,1/11/2017,42,32,1/11/2016,36,12,38.5,3.390952621,4.040569265,5.310208146,21.25,7.39803281,8.815299809,11.58526776
1/12/1900,1/12/2020,29,6,1/12/2019,34,27,1/12/2018,22,12,1/12/2017,43,19,1/12/2016,40,17,34.75,7.637950034,9.101178815,11.96097646,18.75,5.130563633,6.113443638,8.034426852
1/13/1900,1/13/2020,37,14,1/13/2019,30,8,1/13/2018,32,11,1/13/2017,35,11,1/13/2016,36,15,33.25,2.264786848,2.698659979,3.546640402,11.25,2.362241176,2.814783974,3.6992532
1/14/1900,1/14/2020,51,10,1/14/2019,38,34,1/14/2018,42,25,1/14/2017,33,28,1/14/2016,59,21,43,9.280434614,11.05831991,14.53309586,27,4.504617176,5.367582431,7.054199069
1/15/1900,1/15/2020,33,11,1/15/2019,60,23,1/15/2018,46,37,1/15/2017,54,27,1/15/2016,66,31,56.5,7.026817775,8.372969812,11.00394761,29.5,4.911662563,5.852606925,7.691629305
1/16/1900,1/16/2020,33,8,1/16/2019,32,17,1/16/2018,52,20,1/16/2017,56,42,1/16/2016,47,25,46.75,8.635481541,10.28981092,13.52310384,26,9.182743108,10.9419133,14.38011164
1/17/1900,1/17/2020,35,25,1/17/2019,36,37,1/17/2018,60,17,1/17/2017,53,37,1/17/2016,30,9,44.75,11.57987467,13.79827173,18.13400294,25,11.70815393,13.95112589,18.33488736
1/18/1900,1/18/2020,27,10,1/18/2019,46,20,1/18/2018,59,27,1/18/2017,31,20,1/18/2016,31,14,41.75,11.10276198,13.2297569,17.3868478,20.25,4.371258474,5.208675736,6.845360271
1/19/1900,1/19/2020,33,6,1/19/2019,23,17,1/19/2018,59,21,1/19/2017,28,18,1/19/2016,31,14,35.25,13.30155137,15.84977605,20.83013664,17.5,2.374141711,2.828964335,3.717889354
1/20/1900,1/20/2020,30,24,1/20/2019,30,8,1/20/2018,51,11,1/20/2017,38,16,1/20/2016,37,25,39,7.201128352,8.580673676,11.27691676,15,6.117735238,7.289731158,9.5803307
1/21/1900,1/21/2020,40,28,1/21/2019,31,20,1/21/2018,61,29,1/21/2017,44,16,1/21/2016,52,38,47,10.46778438,12.47313442,16.39247731,25.75,8.068589676,9.614317598,12.63535514
1/22/1900,1/22/2020,57,33,1/22/2019,29,32,1/22/2018,60,24,1/22/2017,38,17,1/22/2016,38,38,41.25,10.85634546,12.9361335,17.00096124,27.75,7.548874684,8.995038989,11.82148509
1/23/1900,1/23/2020,58,35,1/23/2019,34,21,1/23/2018,30,19,1/23/2017,29,10,1/23/2016,27,32,30,2.421158982,2.88498887,3.791518074,20.5,7.432239155,8.856059183,11.63883466
1/24/1900,1/24/2020,64,26,1/24/2019,31,21,1/24/2018,29,14,1/24/2017,23,13,1/24/2016,46,20,32.25,8.040597954,9.580963403,12.5915203,17,3.357543406,4.00075973,5.257889549
1/25/1900,1/25/2020,35,13,1/25/2019,41,13,1/25/2018,33,27,1/25/2017,35,18,1/25/2016,58,24,41.75,9.337955392,11.12686014,14.62317299,20.5,5.136053804,6.11998558,8.043024422
1/26/1900,1/26/2020,25,5,1/26/2019,47,20,1/26/2018,52,27,1/26/2017,32,13,1/26/2016,42,13,43.25,7.022805889,8.368189355,10.99766502,18.25,5.511896078,6.567829272,8.631590801
1/27/1900,1/27/2020,26,10,1/27/2019,49,12,1/27/2018,25,19,1/27/2017,16,15,1/27/2016,28,24,29.5,11.48456544,13.68470378,17.98474935,17.5,4.273455079,5.092135803,6.692200838
1/28/1900,1/28/2020,24,9,1/28/2019,18,18,1/28/2018,41,13,1/28/2017,33,15,1/28/2016,42,23,33.5,9.121154599,10.86852606,14.28366446,17.25,3.577005161,4.26226454,5.601565124
1/29/1900,1/29/2020,28,18,1/29/2019,31,17,1/29/2018,20,17,1/29/2017,25,15,1/29/2016,32,11,27,4.60363158,5.48556537,7.209254934,15,2.326174307,2.771807649,3.642772735
1/30/1900,1/30/2020,42,23,1/30/2019,35,18,1/30/2018,29,15,1/30/2017,28,15,1/30/2016,45,31,34.25,6.418969714,7.648674174,10.05206179,19.75,6.276900234,7.479387948,9.829581972
1/31/1900,1/31/2020,55,27,1/31/2019,33,11,1/31/2018,31,24,1/31/2017,37,15,1/31/2016,43,29,36,4.35187364,5.185577282,6.815003757,19.75,6.76109542,8.056342097,10.58782825
2/1/1900,2/1/2020,65,15,2/1/2019,49,32,2/1/2018,45,26,2/1/2017,36,15,2/1/2016,35,18,41.25,5.63327348,6.712459367,8.821666965,22.75,6.348332408,7.564504633,9.941444259
2/2/1900,2/2/2020,55,12,2/2/2019,59,25,2/2/2018,32,18,2/2/2017,30,15,2/2/2016,29,20,37.5,11.83266131,14.09948559,18.52986506,19.5,3.456802509,4.119034247,5.413328611
2/3/1900,2/3/2020,41,24,2/3/2019,50,17,2/3/2018,32,12,2/3/2017,36,15,2/3/2016,25,9,35.75,8.661550979,10.32087457,13.5639284,13.25,2.878493847,3.429936973,4.507701281
2/4/1900,2/4/2020,37,20,2/4/2019,46,18,2/4/2018,31,11,2/4/2017,30,19,2/4/2016,30,13,34.25,6.453998458,7.690413497,10.10691656,15.25,3.176385125,3.784896324,4.974196944
2/5/1900,2/5/2020,13,7,2/5/2019,32,11,2/5/2018,37,15,2/5/2017,36,10,2/5/2016,24,15,32.25,4.85974688,5.790745573,7.610329707,12.75,2.162946036,2.577309167,3.387158402
