date, pm25, o3, no2, co
2020/5/2, 7, 34, 6, 1
2020/5/3, 10, 43, 5, 2
2020/5/4, 25, 36, 11, 1
2020/5/5, 15, 37, 10, 1
2020/5/6, 12, 32, 16, 1
2020/5/7, 15, 37, 16, 2
2020/5/8, 10, , , 
2020/5/9, 14, , , 
2020/5/10, 8, 39, 2, 1
2020/5/11, 9, 29, 10, 1
2020/5/12, 14, 37, 8, 1
2020/5/13, 10, 33, 13, 1
2020/5/14, 16, 40, 16, 3
2020/5/15, 23, 46, 16, 2
2020/5/16, 37, 38, 6, 1
2020/5/17, 23, 38, 2, 1
2020/5/18, 8, 38, 11, 
2020/5/19, 10, 34, 8, 
2020/5/20, 13, 34, 9, 
2020/5/21, 6, 30, 12, 
2020/5/22, 13, 31, 10, 
2020/5/23, 20, 25, 6, 
2020/5/24, 10, , , 
2020/5/25, 18, , , 
2020/5/26, 15, , , 
2020/4/2, 16, , , 
2020/4/3, 10, , , 
2020/4/4, 8, , , 
2020/4/5, 10, , , 
2020/4/6, 32, , , 
2020/4/7, 18, , , 
2020/4/8, 18, , , 
2020/4/9, 31, , , 
2020/4/10, 13, , , 
2020/4/11, 10, , , 
2020/4/12, 14, , , 
2020/4/13, 32, , , 
2020/4/14, 16, , , 
2020/4/15, 11, 31, , 
2020/4/16, 14, 33, 5, 1
2020/4/17, 15, 36, 8, 1
2020/4/18, 16, 32, 7, 2
2020/4/19, 15, 43, 12, 2
2020/4/20, 20, 35, 10, 2
2020/4/21, 21, 35, , 2
2020/4/22, 28, , , 
2020/4/25, 16, , , 
2020/4/26, 23, , , 
2020/4/27, 9, , , 
2020/4/28, 4, , , 
2020/4/29, 16, , , 
2020/4/30, 21, , , 
2020/5/1, 22, 33, 11, 2
2020/3/2, 21, , , 
2020/3/3, 31, , , 
2020/3/4, 38, , , 
2020/3/5, 19, , , 
2020/3/6, 21, , , 
2020/3/7, 19, , , 
2020/3/8, 16, , , 
2020/3/9, 18, , , 
2020/3/10, 33, , , 
2020/3/11, 40, , , 
2020/3/12, 18, , , 
2020/3/13, 26, , , 
2020/3/14, 19, , , 
2020/3/15, 18, , , 
2020/3/16, 19, , , 
2020/3/17, 18, , , 
2020/3/18, 21, , , 
2020/3/19, 22, , , 
2020/3/20, 19, , , 
2020/3/21, 22, , , 
2020/3/22, 17, , , 
2020/3/23, 23, , , 
2020/3/24, 12, , , 
2020/3/25, 14, , , 
2020/3/26, 16, , , 
2020/3/27, 24, , , 
2020/3/28, 25, , , 
2020/3/29, 20, , , 
2020/3/30, 8, , , 
2020/3/31, 16, , , 
2020/4/1, 7, , , 
2020/2/2, 38, , , 
2020/2/3, 35, , , 
2020/2/4, 40, , , 
2020/2/5, 53, , , 
2020/2/6, 63, , , 
2020/2/7, 33, , , 
2020/2/8, 20, , , 
2020/2/9, 30, , , 
2020/2/10, 34, , , 
2020/2/11, 20, , , 
2020/2/12, 42, , , 
2020/2/13, 29, , , 
2020/2/14, 29, , , 
2020/2/15, 27, , , 
2020/2/16, 22, , , 
2020/2/17, 28, , , 
2020/2/18, 41, , , 
2020/2/19, 37, , , 
2020/2/20, 27, , , 
2020/2/21, 20, , , 
2020/2/22, 26, , , 
2020/2/23, 29, , , 
2020/2/25, 45, , , 
2020/2/26, 31, , , 
2020/1/2, 28, , , 
2020/1/3, 43, , , 
2020/1/4, 52, , , 
2020/1/5, 44, , , 
2020/1/6, 26, , , 
2020/1/7, 37, , , 
2020/1/8, 34, , , 
2020/1/9, 31, , , 
2020/1/10, 29, , , 
2020/1/11, 34, , , 
2020/1/12, 40, , , 
2020/1/13, 31, , , 
2020/1/14, 42, , , 
2020/1/15, 44, , , 
2020/1/16, 48, , , 
2020/1/17, 33, , , 
2020/1/18, 29, , , 
2020/1/19, 19, , , 
2020/1/20, 31, , , 
2020/1/21, 29, , , 
2020/1/22, 30, , , 
2020/1/23, 41, , , 
2020/1/24, 54, , , 
2020/1/25, 61, , , 
2020/1/26, 22, , , 
2020/1/27, 24, , , 
2020/1/28, 26, , , 
2020/1/29, 22, , , 
2020/1/30, 25, , , 
2020/1/31, 32, , , 
2020/2/1, 35, , , 
2019/10/2, 25, 44, 11, 2
