date, pm25, o3, no2, co
2020/5/2, 12, 32, 5, 1
2020/5/3, 15, 41, 9, 2
2020/5/4, 31, 35, 7, 1
2020/5/5, 17, 36, 6, 1
2020/5/6, 13, 27, 11, 2
2020/5/7, 21, 39, 10, 1
2020/5/8, 15, 30, , 1
2020/5/9, 19, 24, , 1
2020/5/10, 11, 36, , 1
2020/5/11, 15, 28, 6, 1
2020/5/12, 19, 34, 6, 1
2020/5/13, 7, 35, 11, 1
2020/5/14, 10, 39, 18, 2
2020/5/15, 22, 46, 13, 2
2020/5/16, 41, 36, 7, 1
2020/5/17, 16, 37, 4, 1
2020/5/18, 10, 37, , 1
2020/5/19, 10, 33, , 1
2020/5/20, 15, 34, , 1
2020/5/21, 9, 30, , 1
2020/5/22, 25, 31, , 2
2020/5/23, 25, 29, , 1
2020/5/24, 13, 32, , 1
2020/5/25, 24, 23, , 1
2020/5/26, 20, , , 
2020/4/2, 17, 31, , 1
2020/4/3, 15, 24, , 1
2020/4/4, 14, 30, , 1
2020/4/5, 15, 22, , 3
2020/4/6, 41, 32, , 1
2020/4/7, 19, 37, , 1
2020/4/8, 21, 31, , 2
2020/4/9, 39, 35, , 1
2020/4/10, 16, 29, , 1
2020/4/11, 14, 35, , 1
2020/4/12, 18, 36, 16, 2
2020/4/13, 39, 35, 7, 1
2020/4/14, 21, 35, 8, 1
2020/4/15, 18, 35, 7, 1
2020/4/16, 16, 32, 8, 1
2020/4/17, 20, 33, 12, 2
2020/4/18, 23, 29, 10, 2
2020/4/19, 18, 40, 12, 2
2020/4/20, 27, 32, 14, 2
2020/4/21, 23, 30, 8, 1
2020/4/22, 23, 31, , 
2020/4/23, 14, 25, , 
2020/4/24, 25, 22, 13, 2
2020/4/25, 20, 36, , 2
2020/4/26, 27, 32, , 1
2020/4/27, 16, 28, , 1
2020/4/28, 7, 32, , 1
2020/4/29, 19, 30, , 2
2020/4/30, 27, 34, 4, 1
2020/5/1, 24, 36, 15, 1
2020/3/2, 26, 21, 31, 5
2020/3/3, 40, 22, 23, 5
2020/3/4, 50, 30, 10, 2
2020/3/5, 22, 27, 12, 2
2020/3/6, 24, 24, 19, 3
2020/3/7, 25, 30, 10, 2
2020/3/8, 22, 28, 13, 2
2020/3/9, 22, 30, 24, 7
2020/3/10, 45, 23, 21, 3
2020/3/11, 43, 23, 15, 2
2020/3/12, 19, 18, 19, 4
2020/3/13, 36, 33, 13, 2
2020/3/14, 24, 29, 7, 1
2020/3/15, 23, 31, 7, 1
2020/3/16, 19, 27, 11, 2
2020/3/17, 23, 23, 20, 2
2020/3/18, 25, 27, 14, 2
2020/3/19, 26, 23, 16, 2
2020/3/20, 21, 33, 21, 3
2020/3/21, 35, 31, 4, 1
2020/3/22, 17, 32, , 1
2020/3/23, 28, 23, , 1
2020/3/24, 13, 29, , 1
2020/3/25, 15, 27, , 2
2020/3/26, 23, 27, , 2
2020/3/27, 28, 34, , 2
2020/3/28, 26, 32, , 2
2020/3/29, 26, 33, , 1
2020/3/30, 11, 23, , 2
2020/3/31, 23, 31, , 2
2020/4/1, 9, 33, , 1
2020/2/2, 48, 17, , 4
2020/2/3, 40, 19, , 5
2020/2/4, 44, 2, , 10
2020/2/5, 60, 20, , 4
2020/2/6, 24, 14, , 4
2020/2/7, 21, 23, , 3
2020/2/8, 29, 26, , 3
2020/2/9, 36, 18, , 4
2020/2/10, 44, 21, , 2
2020/2/11, 35, 8, , 5
2020/2/12, 35, 25, , 2
2020/2/13, 34, 19, , 4
2020/2/14, 33, 25, , 2
2020/2/15, 30, 19, , 3
2020/2/16, 26, 16, , 6
2020/2/17, 39, 27, , 3
2020/2/18, 42, 21, , 3
2020/2/19, 38, 27, 11, 2
2020/2/20, 30, 27, 11, 2
2020/2/21, 23, 27, 14, 3
2020/2/22, 22, 20, 23, 7
2020/2/23, 31, 28, , 
2020/2/24, 35, 25, 29, 5
2020/2/25, 55, 19, 30, 6
2020/2/26, 42, 23, , 
2020/2/27, 21, 29, , 
2020/2/28, 16, 27, , 
2020/2/29, 21, 26, , 
2020/3/1, 23, 31, 13, 2
2020/1/2, 31, 13, , 7
2020/1/3, 50, 1, , 9
2020/1/4, 61, 7, , 6
2020/1/5, 55, 24, , 2
2020/1/6, 41, 17, , 3
2020/1/7, 42, 13, , 4
2020/1/8, 46, 24, , 2
2020/1/9, 47, 21, , 2
2020/1/10, 44, 9, , 3
2020/1/11, 43, 24, , 3
2020/1/12, 49, 25, , 2
2020/1/13, 37, 12, , 3
2020/1/14, 47, 4, , 4
2020/1/15, 49, 19, , 3
2020/1/16, 47, 22, , 2
2020/1/17, 43, 26, , 1
2020/1/18, 29, 21, , 3
2020/1/19, 27, 18, , 2
2020/1/20, 34, 27, , 1
2020/1/21, 29, 24, , 2
2020/1/22, 31, 17, , 5
2020/1/23, 34, 7, , 12
2020/1/24, 67, 12, , 7
2020/1/25, 59, 23, , 3
2020/1/26, 25, 15, , 4
2020/1/27, 24, 13, , 6
2020/1/28, 30, 24, , 2
2020/1/29, 21, 26, , 2
2020/1/30, 26, 20, , 3
2020/1/31, 36, 7, , 5
2020/2/1, 43, 6, , 5
2019/10/2, 24, 40, 13, 2
2019/10/3, 44, 13, 11, 2
2019/10/4, 4, 20, 8, 1
2019/10/5, 6, 25, 5, 1
2019/10/6, 9, 25, , 1
2019/10/7, 15, 26, , 1
2019/10/8, 16, 22, , 1
2019/10/9, 11, 15, , 1
2019/10/10, 13, 26, , 1
2019/10/11, 7, 26, 6, 1
2019/10/12, 8, 23, 9, 1
2019/10/13, 16, 26, 10, 2
2019/10/14, 21, 33, 14, 2
2019/10/15, 29, 25, 15, 2
2019/10/16, 26, 33, 19, 2
2019/10/17, 23, 22, 2, 1
2019/10/18, 16, 17, , 1
2019/10/19, 12, 20, , 2
2019/10/20, 16, 23, , 5
2019/10/21, 33, 29, , 3
2019/10/22, 29, 18, , 2
2019/10/23, 16, 28, , 2
2019/10/24, 16, 25, , 2
2019/10/25, 27, 21, , 4
2019/10/26, 42, 27, , 2
2019/10/27, 27, 26, , 2
2019/10/28, 14, 20, , 2
2019/10/29, 13, 16, , 2
2019/10/30, 11, 17, , 2
2019/10/31, 14, 23, , 2
2019/11/1, 21, 24, , 1
2019/11/2, 16, 19, , 2
2019/11/3, 17, 22, , 2
2019/11/4, 27, 24, , 2
2019/11/5, 24, 18, , 3
2019/11/6, 37, 23, , 2
2019/11/7, 27, 14, , 3
2019/11/8, 33, 20, , 1
2019/11/9, 15, 15, , 2
2019/11/10, 14, 14, , 3
2019/11/11, 35, 17, , 5
2019/11/12, 61, 22, , 2
2019/11/13, 26, 23, , 1
2019/11/14, 16, 16, , 3
2019/11/15, 26, 14, , 4
2019/11/16, 38, 23, , 2
2019/11/17, 16, 23, , 2
2019/11/18, 15, 18, , 2
2019/11/19, 15, 15, , 3
2019/11/20, 24, 19, , 4
2019/11/21, 32, 20, , 5
2019/11/22, 35, 19, , 5
2019/11/23, 37, 18, , 4
2019/11/24, 19, 17, , 3
2019/11/25, 24, 12, , 4
2019/11/26, 50, 9, , 5
2019/11/27, 54, 16, , 7
2019/11/28, 52, 17, , 1
2019/11/29, 16, 20, , 1
2019/11/30, 14, 21, , 2
2019/12/1, 20, 18, , 2
2019/12/2, 22, 23, , 2
2019/12/3, 19, 26, , 2
2019/12/4, 20, 10, , 3
2019/12/5, 41, 23, , 2
2019/12/6, 30, 19, , 2
2019/12/7, 31, 21, , 1
2019/12/8, 27, 22, , 3
2019/12/9, 28, 11, , 6
2019/12/10, 33, 17, , 4
2019/12/11, 41, 18, , 3
2019/12/12, 26, 20, , 2
2019/12/13, 33, 6, , 6
2019/12/14, 37, 19, , 4
2019/12/15, 23, 22, , 2
2019/12/16, 34, 19, , 2
2019/12/17, 34, 12, , 3
2019/12/18, 26, 23, , 2
2019/12/19, 33, 23, , 2
2019/12/20, 34, 19, , 2
2019/12/21, 36, 14, , 5
2019/12/22, 47, 7, , 10
2019/12/23, 63, 7, , 10
2019/12/24, 60, 18, , 4
2019/12/25, 40, 12, , 6
2019/12/26, 50, 12, , 6
2019/12/27, 62, 11, , 4
2019/12/28, 44, 17, , 3
2019/12/29, 46, 10, , 4
2019/12/30, 49, , , 
2019/7/2, 33, 49, , 2
2019/7/3, 32, 57, , 2
2019/7/4, 43, 54, , 4
2019/7/5, 63, 44, 5, 2
2019/7/6, 36, 41, , 2
2019/7/7, 43, 28, , 2
2019/7/8, 32, 24, 3, 2
2019/7/9, 55, 46, 3, 3
2019/7/10, 33, 54, , 3
2019/7/11, 53, 36, , 2
2019/7/12, 39, 34, , 2
2019/7/13, 28, 38, 6, 2
2019/7/14, 42, 39, 7, 2
2019/7/15, 56, 33, 8, 2
2019/7/16, 3, 58, 18, 3
2019/7/17, 29, 65, 17, 2
2019/7/18, 47, 23, 13, 2
2019/7/19, 8, 53, 14, 2
2019/7/20, 27, 41, 7, 2
2019/7/21, 39, 37, 6, 2
2019/7/22, 34, 43, 13, 2
2019/7/23, 16, 21, 9, 2
2019/7/24, 4, 30, 10, 2
2019/7/25, 13, 39, 13, 2
2019/7/26, 25, 55, 17, 3
2019/7/27, 34, 53, 17, 2
2019/7/28, 39, 47, 8, 2
2019/7/29, 43, 54, 12, 2
2019/7/30, 56, 57, 16, 3
2019/7/31, 93, 55, 23, 3
2019/8/1, 39, 45, 13, 2
2019/8/2, 18, 44, , 3
2019/8/3, 29, 44, , 2
2019/8/4, 21, 41, , 2
2019/8/5, 19, 40, , 2
2019/8/6, 24, 36, , 3
2019/8/7, 42, 35, , 2
2019/8/8, 36, 44, , 2
2019/8/9, 30, 34, , 2
2019/8/10, 25, 26, , 2
2019/8/11, 12, 23, , 2
2019/8/12, 17, 37, , 3
2019/8/13, 24, 36, , 3
2019/8/14, 34, 40, , 3
2019/8/15, 45, 40, , 3
2019/8/16, 33, 34, , 276
2019/8/17, 22, 39, , 500
2019/8/18, 18, 44, 14, 500
2019/8/19, 37, 45, 23, 197
2019/8/20, 33, 44, 17, 2
2019/8/21, 30, 44, 16, 2
2019/8/22, 48, 42, 11, 2
2019/8/23, 31, 23, 10, 2
2019/8/24, 18, 24, 5, 1
2019/8/25, 8, 24, , 1
