Week,Date,Essex,Average
1,1/1/2015 - 1/7/2015,2.142857143,2.142857143
2,1/8/2015 - 1/14/2015,3.142857143,3.142857143
3,1/15/2015 - 1/21/2015,11.5,11.5
4,1/22/2015 - 1/28/2015,17,17
5,1/29/2015 - 2/4/2015,13,13
6,2/5/2015 - 2/11/2015,31.14285714,31.14285714
7,2/12/2015 - 2/18/2015,30.85714286,30.85714286
8,2/19/2015 - 2/25/2015,34.28571429,34.28571429
9,2/26/2015 - 3/4/2015,26.16666667,26.16666667
10,3/5/2015 - 3/11/2015,31.42857143,31.42857143
11,3/12/2015 - 3/18/2015,14,14
12,3/19/2015 - 3/25/2015,17.57142857,17.57142857
13,3/26/2015 - 4/1/2015,13.57142857,13.57142857
14,4/2/2015 - 4/8/2015,13.33333333,13.33333333
15,4/9/2015 - 4/15/2015,13.5,13.5
16,4/16/2015 - 4/22/2015,12.83333333,12.83333333
17,4/23/2015 - 4/29/2015,5,5
18,4/30/2015 - 5/6/2015,19.33333333,19.33333333
19,5/7/2015 - 5/13/2015,20.85714286,20.85714286
20,5/14/2015 - 5/20/2015,22,22
21,5/21/2015 - 5/27/2015,23.85714286,23.85714286
22,5/28/2015 - 6/3/2015,11.42857143,11.42857143
23,6/4/2015 - 6/10/2015,15.57142857,15.57142857
24,6/11/2015 - 6/17/2015,16.57142857,16.57142857
25,6/18/2015 - 6/24/2015,16.2,16.2
26,6/25/2015 - 7/1/2015,8.428571429,8.428571429
27,7/2/2015 - 7/8/2015,30.71428571,30.71428571
28,7/9/2015 - 7/15/2015,34.28571429,34.28571429
29,7/16/2015 - 7/22/2015,19.71428571,19.71428571
30,7/23/2015 - 7/29/2015,25.83333333,25.83333333
31,7/30/2015 - 8/5/2015,14,14
32,8/6/2015 - 8/12/2015,15.25,15.25
33,8/13/2015 - 8/19/2015,26,26
34,8/20/2015 - 8/26/2015,15.57142857,15.57142857
35,8/27/2015 - 9/2/2015,36.85714286,36.85714286
36,9/3/2015 - 9/9/2015,42.71428571,42.71428571
37,9/10/2015 - 9/16/2015,18.14285714,18.14285714
38,9/17/2015 - 9/23/2015,20.14285714,20.14285714
39,9/24/2015 - 9/30/2015,7.714285714,7.714285714
40,10/1/2015 - 10/7/2015,7.857142857,7.857142857
41,10/8/2015 - 10/14/2015,11.71428571,11.71428571
42,10/15/2015 - 10/21/2015,11.71428571,11.71428571
43,10/22/2015 - 10/28/2015,8.833333333,8.833333333
44,10/29/2015 - 11/4/2015,11.57142857,11.57142857
45,11/5/2015 - 11/11/2015,12.2,12.2
46,11/12/2015 - 11/18/2015,12.83333333,12.83333333
