"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2016","34","","PERCH RIVER","36-045-0002","AQS"
"01/02/2016","29","","PERCH RIVER","36-045-0002","AQS"
"01/03/2016","29","","PERCH RIVER","36-045-0002","AQS"
"01/04/2016","26","","PERCH RIVER","36-045-0002","AQS"
"01/05/2016","28","","PERCH RIVER","36-045-0002","AQS"
"01/06/2016","29","","PERCH RIVER","36-045-0002","AQS"
"01/07/2016","24","","PERCH RIVER","36-045-0002","AQS"
"01/08/2016","31","","PERCH RIVER","36-045-0002","AQS"
"01/09/2016","29","","PERCH RIVER","36-045-0002","AQS"
"01/10/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/11/2016","31","","PERCH RIVER","36-045-0002","AQS"
"01/12/2016","28","","PERCH RIVER","36-045-0002","AQS"
"01/13/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/14/2016","28","","PERCH RIVER","36-045-0002","AQS"
"01/15/2016","23","","PERCH RIVER","36-045-0002","AQS"
"01/16/2016","30","","PERCH RIVER","36-045-0002","AQS"
"01/17/2016","33","","PERCH RIVER","36-045-0002","AQS"
"01/18/2016","34","","PERCH RIVER","36-045-0002","AQS"
"01/19/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/20/2016","34","","PERCH RIVER","36-045-0002","AQS"
"01/21/2016","33","","PERCH RIVER","36-045-0002","AQS"
"01/22/2016","35","","PERCH RIVER","36-045-0002","AQS"
"01/23/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/24/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/25/2016","33","","PERCH RIVER","36-045-0002","AQS"
"01/26/2016","32","","PERCH RIVER","36-045-0002","AQS"
"01/27/2016","31","","PERCH RIVER","36-045-0002","AQS"
"01/28/2016","30","","PERCH RIVER","36-045-0002","AQS"
"01/29/2016","26","","PERCH RIVER","36-045-0002","AQS"
"01/30/2016","33","","PERCH RIVER","36-045-0002","AQS"
"01/31/2016","40","","PERCH RIVER","36-045-0002","AQS"
"02/01/2016","34","","PERCH RIVER","36-045-0002","AQS"
"02/02/2016","30","","PERCH RIVER","36-045-0002","AQS"
"02/03/2016","34","","PERCH RIVER","36-045-0002","AQS"
"02/04/2016","32","","PERCH RIVER","36-045-0002","AQS"
"02/05/2016","33","","PERCH RIVER","36-045-0002","AQS"
"02/06/2016","33","","PERCH RIVER","36-045-0002","AQS"
"02/07/2016","29","","PERCH RIVER","36-045-0002","AQS"
"02/08/2016","28","","PERCH RIVER","36-045-0002","AQS"
"02/09/2016","27","","PERCH RIVER","36-045-0002","AQS"
"02/10/2016","29","","PERCH RIVER","36-045-0002","AQS"
"02/11/2016","31","","PERCH RIVER","36-045-0002","AQS"
"02/12/2016","36","","PERCH RIVER","36-045-0002","AQS"
"02/13/2016","31","","PERCH RIVER","36-045-0002","AQS"
"02/14/2016","22","","PERCH RIVER","36-045-0002","AQS"
"02/15/2016","31","","PERCH RIVER","36-045-0002","AQS"
"02/16/2016","29","","PERCH RIVER","36-045-0002","AQS"
"02/17/2016","33","","PERCH RIVER","36-045-0002","AQS"
"02/18/2016","34","","PERCH RIVER","36-045-0002","AQS"
"02/19/2016","39","","PERCH RIVER","36-045-0002","AQS"
"02/20/2016","37","","PERCH RIVER","36-045-0002","AQS"
"02/21/2016","32","","PERCH RIVER","36-045-0002","AQS"
"02/22/2016","35","","PERCH RIVER","36-045-0002","AQS"
"02/23/2016","29","","PERCH RIVER","36-045-0002","AQS"
"02/24/2016","29","","PERCH RIVER","36-045-0002","AQS"
"02/25/2016","35","","PERCH RIVER","36-045-0002","AQS"
"02/26/2016","35","","PERCH RIVER","36-045-0002","AQS"
"02/27/2016","36","","PERCH RIVER","36-045-0002","AQS"
"02/28/2016","39","","PERCH RIVER","36-045-0002","AQS"
"02/29/2016","41","","PERCH RIVER","36-045-0002","AQS"
"03/01/2016","30","","PERCH RIVER","36-045-0002","AQS"
"03/02/2016","32","","PERCH RIVER","36-045-0002","AQS"
"03/03/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/04/2016","39","","PERCH RIVER","36-045-0002","AQS"
"03/05/2016","43","","PERCH RIVER","36-045-0002","AQS"
"03/06/2016","44","","PERCH RIVER","36-045-0002","AQS"
"03/07/2016","32","","PERCH RIVER","36-045-0002","AQS"
"03/08/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/09/2016","47","","PERCH RIVER","36-045-0002","AQS"
"03/10/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/11/2016","29","","PERCH RIVER","36-045-0002","AQS"
"03/12/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/13/2016","34","","PERCH RIVER","36-045-0002","AQS"
"03/14/2016","36","","PERCH RIVER","36-045-0002","AQS"
"03/15/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/16/2016","31","","PERCH RIVER","36-045-0002","AQS"
"03/17/2016","35","","PERCH RIVER","36-045-0002","AQS"
"03/18/2016","36","","PERCH RIVER","36-045-0002","AQS"
"03/19/2016","37","","PERCH RIVER","36-045-0002","AQS"
"03/20/2016","36","","PERCH RIVER","36-045-0002","AQS"
"03/21/2016","37","","PERCH RIVER","36-045-0002","AQS"
"03/22/2016","40","","PERCH RIVER","36-045-0002","AQS"
"03/23/2016","39","","PERCH RIVER","36-045-0002","AQS"
"03/24/2016","35","","PERCH RIVER","36-045-0002","AQS"
"03/26/2016","35","","PERCH RIVER","36-045-0002","AQS"
"03/27/2016","44","","PERCH RIVER","36-045-0002","AQS"
"03/28/2016","37","","PERCH RIVER","36-045-0002","AQS"
"03/29/2016","43","","PERCH RIVER","36-045-0002","AQS"
"03/30/2016","44","","PERCH RIVER","36-045-0002","AQS"
"03/31/2016","41","","PERCH RIVER","36-045-0002","AQS"
"04/01/2016","40","","PERCH RIVER","36-045-0002","AQS"
"04/02/2016","39","","PERCH RIVER","36-045-0002","AQS"
"04/03/2016","37","","PERCH RIVER","36-045-0002","AQS"
"04/04/2016","38","","PERCH RIVER","36-045-0002","AQS"
"04/05/2016","40","","PERCH RIVER","36-045-0002","AQS"
"04/06/2016","43","","PERCH RIVER","36-045-0002","AQS"
"04/07/2016","42","","PERCH RIVER","36-045-0002","AQS"
"04/08/2016","34","","PERCH RIVER","36-045-0002","AQS"
"04/09/2016","37","","PERCH RIVER","36-045-0002","AQS"
"04/10/2016","36","","PERCH RIVER","36-045-0002","AQS"
"04/11/2016","35","","PERCH RIVER","36-045-0002","AQS"
"04/12/2016","32","","PERCH RIVER","36-045-0002","AQS"
"04/13/2016","38","","PERCH RIVER","36-045-0002","AQS"
"04/14/2016","40","","PERCH RIVER","36-045-0002","AQS"
