Week,Year,Date,Average of Essex Ozone AQI Value,Average of cluster 3 Ozone AQI Value
1,2016,1/1/2016 - 1/7/2016,36.71,36.71
2,2016,1/8/2016 - 1/14/2016,35.71,35.71
3,2016,1/15/2016 - 1/21/2016,36,36
4,2016,1/22/2016 - 1/28/2016,38.71,38.71
5,2016,1/29/2016 - 2/4/2016,38.57,38.57
6,2016,2/5/2016 - 2/11/2016,35.71,35.71
7,2016,2/12/2016 - 2/18/2016,37.86,37.86
8,2016,2/19/2016 - 2/25/2016,40,40
9,2016,2/26/2016 - 3/3/2016,38.86,38.86
10,2016,3/4/2016 - 3/10/2016,43,43
11,2016,3/11/2016 - 3/17/2016,42,42
12,2016,3/18/2016 - 3/24/2016,43,43
13,2016,3/25/2016 - 3/31/2016,44.71,44.71
14,2016,4/1/2016 - 4/7/2016,40.14,40.14
15,2016,4/8/2016 - 4/14/2016,38.57,38.57
16,2016,4/15/2016 - 4/21/2016,59,59
17,2016,4/22/2016 - 4/28/2016,46.71,46.71
18,2016,4/29/2016 - 5/5/2016,39.71,39.71
19,2016,5/6/2016 - 5/12/2016,48,48
20,2016,5/13/2016 - 5/19/2016,45.29,45.29
21,2016,5/20/2016 - 5/26/2016,77.43,77.43
22,2016,5/27/2016 - 6/2/2016,59.71,59.71
23,2016,6/3/2016 - 6/9/2016,43,43
24,2016,6/10/2016 - 6/16/2016,36,36
25,2016,6/17/2016 - 6/23/2016,53.14,53.14
26,2016,6/24/2016 - 6/30/2016,46,46
27,2016,7/1/2016 - 7/7/2016,52.43,52.43
28,2016,7/8/2016 - 7/14/2016,41,41
29,2016,7/15/2016 - 7/21/2016,37.29,37.29
30,2016,7/22/2016 - 7/28/2016,40.43,40.43
31,2016,7/29/2016 - 8/4/2016,35.57,35.57
32,2016,8/5/2016 - 8/11/2016,54.86,54.86
33,2016,8/12/2016 - 8/18/2016,37.86,37.86
34,2016,8/19/2016 - 8/25/2016,41.29,41.29
35,2016,8/26/2016 - 9/1/2016,38.71,38.71
36,2016,9/2/2016 - 9/8/2016,39.43,39.43
37,2016,9/9/2016 - 9/15/2016,39.43,39.43
38,2016,9/16/2016 - 9/22/2016,43.43,43.43
39,2016,9/23/2016 - 9/29/2016,36.57,36.57
40,2016,9/30/2016 - 10/6/2016,38.29,38.29
41,2016,10/7/2016 - 10/13/2016,41,41
42,2016,10/14/2016 - 10/20/2016,37,37
43,2016,10/21/2016 - 10/27/2016,29.29,29.29
44,2016,10/28/2016 - 11/3/2016,33.57,33.57
45,2016,11/4/2016 - 11/10/2016,36.86,36.86
46,2016,11/11/2016 - 11/17/2016,39.57,39.57
47,2016,11/18/2016 - 11/24/2016,36.71,36.71
48,2016,11/25/2016 - 12/1/2016,33.14,33.14
