Week,Year,Date,Average of Essex PM2.5 AQI Value,Average of cluster 3 PM2.5 AQI Value
1,2016,1/1/2016 - 1/7/2016,13,13
2,2016,1/8/2016 - 1/14/2016,9,9
3,2016,1/15/2016 - 1/21/2016,3,3
4,2016,1/22/2016 - 1/28/2016,22,22
5,2016,1/29/2016 - 2/4/2016,23,23
6,2016,2/5/2016 - 2/11/2016,20,20
7,2016,2/12/2016 - 2/18/2016,8,8
8,2016,2/19/2016 - 2/25/2016,3,3
9,2016,2/26/2016 - 3/3/2016,8,8
10,2016,3/4/2016 - 3/10/2016,25,25
11,2016,3/11/2016 - 3/17/2016,10,10
12,2016,3/18/2016 - 3/24/2016,7,7
13,2016,3/25/2016 - 3/31/2016,18,18
14,2016,4/1/2016 - 4/7/2016,10,10
15,2016,4/8/2016 - 4/14/2016,7,7
16,2016,4/15/2016 - 4/21/2016,15,15
17,2016,4/22/2016 - 4/28/2016,13,13
18,2016,4/29/2016 - 5/5/2016,11,11
19,2016,5/6/2016 - 5/12/2016,12.5,12.5
20,2016,5/13/2016 - 5/19/2016,8,8
21,2016,5/20/2016 - 5/26/2016,40,40
22,2016,5/27/2016 - 6/2/2016,23,23
23,2016,6/3/2016 - 6/9/2016,15,15
24,2016,6/10/2016 - 6/16/2016,14,14
25,2016,6/17/2016 - 6/23/2016,19.14285714,19.14285714
26,2016,6/24/2016 - 6/30/2016,24.28571429,24.28571429
27,2016,7/1/2016 - 7/7/2016,22.14285714,22.14285714
28,2016,7/8/2016 - 7/14/2016,17.14285714,17.14285714
29,2016,7/15/2016 - 7/21/2016,15.14285714,15.14285714
30,2016,7/22/2016 - 7/28/2016,19.14285714,19.14285714
31,2016,7/29/2016 - 8/4/2016,14.42857143,14.42857143
32,2016,8/5/2016 - 8/11/2016,22.14285714,22.14285714
33,2016,8/12/2016 - 8/18/2016,14.28571429,14.28571429
34,2016,8/19/2016 - 8/25/2016,17.71428571,17.71428571
35,2016,8/26/2016 - 9/1/2016,17.85714286,17.85714286
36,2016,9/2/2016 - 9/8/2016,13,13
37,2016,9/9/2016 - 9/15/2016,14,14
38,2016,9/16/2016 - 9/22/2016,16.71428571,16.71428571
39,2016,9/23/2016 - 9/29/2016,10.16666667,10.16666667
40,2016,9/30/2016 - 10/6/2016,8.571428571,8.571428571
41,2016,10/7/2016 - 10/13/2016,8.571428571,8.571428571
42,2016,10/14/2016 - 10/20/2016,14.25,14.25
43,2016,10/21/2016 - 10/27/2016,5.428571429,5.428571429
44,2016,10/28/2016 - 11/3/2016,14.83333333,14.83333333
45,2016,11/4/2016 - 11/10/2016,9.714285714,9.714285714
46,2016,11/11/2016 - 11/17/2016,18.42857143,18.42857143
47,2016,11/18/2016 - 11/24/2016,9.714285714,9.714285714
48,2016,11/25/2016 - 12/1/2016,10.14285714,10.14285714
49,2016,12/2/2016 - 12/8/2016,9.857142857,9.857142857
50,2016,12/9/2016 - 12/15/2016,12.57142857,12.57142857
51,2016,12/16/2016 - 12/22/2016,16,16
52,2016,12/23/2016 - 12/29/2016,9.857142857,9.857142857
1,2017,12/30/2016 - 1/5/2017,10.28571429,10.28571429
2,2017,1/6/2017 - 1/12/2017,15.85714286,15.85714286
