Week,Year,Date,Average of Essex SO2 AQI Value,Average of St.Lawrence SO2 AQI Value,Average of cluster 3 SO2 AQI Value,,,Row Labels,Average of Sulfur Dioxide AQI Value,
1,2016,1/1/2016 - 1/7/2016,0.14,47.86,32.57,,,(blank),,
2,2016,1/8/2016 - 1/14/2016,0.43,17,32.925,,,1/1/2017 - 1/7/2017,47.85714286,47.86
3,2016,1/15/2016 - 1/21/2016,0.86,43.43,33.645,,,1/8/2017 - 1/14/2017,17,17
4,2016,1/22/2016 - 1/28/2016,1.57,62.57,35.425,,,1/15/2017 - 1/21/2017,43.42857143,43.43
5,2016,1/29/2016 - 2/4/2016,0.86,39.71,35.64,,,1/22/2017 - 1/28/2017,62.57142857,62.57
6,2016,2/5/2016 - 2/11/2016,1.14,43.43,32.855,,,1/29/2017 - 2/4/2017,39.71428571,39.71
7,2016,2/12/2016 - 2/18/2016,0.43,55.14,34.36,,,2/5/2017 - 2/11/2017,43.42857143,43.43
8,2016,2/19/2016 - 2/25/2016,0.25,35.86,36.855,,,2/12/2017 - 2/18/2017,55.14285714,55.14
9,2016,2/26/2016 - 3/3/2016,0,32.43,36.86,,,2/19/2017 - 2/25/2017,35.85714286,35.86
10,2016,3/4/2016 - 3/10/2016,0,40.71,40.57,,,2/26/2017 - 3/4/2017,32.42857143,32.43
11,2016,3/11/2016 - 3/17/2016,0,31.29,37.215,,,3/5/2017 - 3/11/2017,40.71428571,40.71
12,2016,3/18/2016 - 3/24/2016,0.14,28.14,40.07,,,3/12/2017 - 3/18/2017,31.28571429,31.29
13,2016,3/25/2016 - 3/31/2016,0,69.57,42.69,,,3/19/2017 - 3/25/2017,28.14285714,28.14
14,2016,4/1/2016 - 4/7/2016,0.14,80.14,40,,,3/26/2017 - 4/1/2017,69.57142857,69.57
15,2016,4/8/2016 - 4/14/2016,0,15.14,37.285,,,4/2/2017 - 4/8/2017,80.14285714,80.14
16,2016,4/15/2016 - 4/21/2016,0,38,54.43,,,4/9/2017 - 4/15/2017,15.14285714,15.14
17,2016,4/22/2016 - 4/28/2016,0.14,61.43,43.69,,,4/16/2017 - 4/22/2017,38,38
18,2016,4/29/2016 - 5/5/2016,0.14,56.43,37,,,4/23/2017 - 4/29/2017,61.42857143,61.43
19,2016,5/6/2016 - 5/12/2016,0,42,45.715,,,4/30/2017 - 5/6/2017,56.42857143,56.43
20,2016,5/13/2016 - 5/19/2016,0,22.57,41.36,,,5/7/2017 - 5/13/2017,42,42
21,2016,5/20/2016 - 5/26/2016,0,56.71,74.07,,,5/14/2017 - 5/20/2017,22.57142857,22.57
22,2016,5/27/2016 - 6/2/2016,0,12.71,57,,,5/21/2017 - 5/27/2017,56.71428571,56.71
23,2016,6/3/2016 - 6/9/2016,0,44.14,40.715,,,5/28/2017 - 6/3/2017,12.71428571,12.71
