"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2017","50","","Alcoa East","36-089-0005","AQS"
"01/02/2017","97","","Alcoa West","36-089-0004","AQS"
"01/03/2017","103","","Alcoa West","36-089-0004","AQS"
"01/04/2017","4","","Alcoa West","36-089-0004","AQS"
"01/05/2017","34","","Alcoa East","36-089-0005","AQS"
"01/06/2017","31","","Alcoa East","36-089-0005","AQS"
"01/07/2017","16","","Alcoa West","36-089-0004","AQS"
"01/08/2017","47","","Alcoa West","36-089-0004","AQS"
"01/09/2017","1","","Alcoa East","36-089-0005","AQS"
"01/10/2017","1","","Alcoa West","36-089-0004","AQS"
"01/11/2017","4","","Alcoa East","36-089-0005","AQS"
"01/12/2017","31","","Alcoa East","36-089-0005","AQS"
"01/13/2017","26","","Alcoa East","36-089-0005","AQS"
"01/14/2017","9","","Alcoa West","36-089-0004","AQS"
"01/15/2017","51","","Alcoa East","36-089-0005","AQS"
"01/16/2017","1","","Alcoa East","36-089-0005","AQS"
"01/17/2017","81","","Alcoa West","36-089-0004","AQS"
"01/18/2017","90","","Alcoa West","36-089-0004","AQS"
"01/19/2017","51","","Alcoa East","36-089-0005","AQS"
"01/20/2017","23","","Alcoa West","36-089-0004","AQS"
"01/21/2017","7","","Alcoa West","36-089-0004","AQS"
"01/22/2017","86","","Alcoa West","36-089-0004","AQS"
"01/23/2017","101","","Alcoa West","36-089-0004","AQS"
"01/24/2017","101","","Alcoa West","36-089-0004","AQS"
"01/25/2017","30","","Alcoa East","36-089-0005","AQS"
"01/26/2017","44","","Alcoa East","36-089-0005","AQS"
"01/27/2017","52","","Alcoa East","36-089-0005","AQS"
"01/28/2017","24","","Alcoa East","36-089-0005","AQS"
"01/29/2017","10","","Alcoa East","36-089-0005","AQS"
"01/30/2017","19","","Alcoa East","36-089-0005","AQS"
"01/31/2017","72","","Alcoa West","36-089-0004","AQS"
"02/01/2017","89","","Alcoa West","36-089-0004","AQS"
"02/02/2017","23","","Alcoa East","36-089-0005","AQS"
"02/03/2017","36","","Alcoa East","36-089-0005","AQS"
"02/04/2017","29","","Alcoa East","36-089-0005","AQS"
"02/05/2017","29","","Alcoa East","36-089-0005","AQS"
"02/06/2017","7","","Alcoa East","36-089-0005","AQS"
"02/07/2017","104","","Alcoa West","36-089-0004","AQS"
"02/08/2017","54","","Alcoa East","36-089-0005","AQS"
"02/09/2017","1","","Alcoa East","36-089-0005","AQS"
"02/10/2017","7","","Alcoa East","36-089-0005","AQS"
"02/11/2017","102","","Alcoa West","36-089-0004","AQS"
"02/12/2017","101","","Alcoa West","36-089-0004","AQS"
"02/13/2017","62","","Alcoa East","36-089-0005","AQS"
"02/14/2017","76","","Alcoa West","36-089-0004","AQS"
"02/15/2017","70","","Alcoa West","36-089-0004","AQS"
"02/16/2017","26","","Alcoa East","36-089-0005","AQS"
"02/17/2017","34","","Alcoa East","36-089-0005","AQS"
"02/18/2017","17","","Alcoa West","36-089-0004","AQS"
"02/19/2017","11","","Alcoa East","36-089-0005","AQS"
"02/20/2017","1","","Alcoa West","36-089-0004","AQS"
"02/21/2017","52","","Alcoa West","36-089-0004","AQS"
"02/22/2017","34","","Alcoa West","36-089-0004","AQS"
"02/23/2017","27","","Alcoa East","36-089-0005","AQS"
"02/24/2017","99","","Alcoa West","36-089-0004","AQS"
"02/25/2017","27","","Alcoa West","36-089-0004","AQS"
"02/26/2017","54","","Alcoa East","36-089-0005","AQS"
"02/27/2017","77","","Alcoa East","36-089-0005","AQS"
"02/28/2017","59","","Alcoa West","36-089-0004","AQS"
"03/01/2017","16","","Alcoa West","36-089-0004","AQS"
"03/02/2017","21","","Alcoa East","36-089-0005","AQS"
"03/03/2017","0","","Alcoa West","36-089-0004","AQS"
"03/04/2017","0","","Alcoa West","36-089-0004","AQS"
"03/05/2017","3","","Alcoa East","36-089-0005","AQS"
"03/06/2017","95","","Alcoa West","36-089-0004","AQS"
"03/07/2017","74","","Alcoa West","36-089-0004","AQS"
"03/08/2017","44","","Alcoa East","36-089-0005","AQS"
"03/09/2017","29","","Alcoa East","36-089-0005","AQS"
