Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
1/1/1900,1/1/2020,18,23,1,1/1/2019,20,26,5,1/1/2018,8,25,10,1/1/2017,34,24,6,1/2/2016,26,24,4,22,24.75,6.25,9.009234353,10.73516486,14.10839814,0.787413725,0.938261325,1.2330844,2.162946036,2.577309167,3.387158402
1/2/1900,1/2/2020,16,27,3,1/2/2019,29,26,4,1/2/2018,25,26,7,1/2/2017,18,21,17,1/3/2016,26,24,2,24.5,24.25,7.5,3.828188481,4.561567926,5.994916451,1.943318743,2.315607106,3.043223593,5.475987578,6.525041655,8.57535834
1/3/1900,1/3/2020,20,22,5,1/3/2019,11,17,10,1/3/2018,22,28,6,1/3/2017,44,17,14,1/4/2016,24,24,5,25.25,21.5,8.75,11.30400649,13.46955452,17.70199529,4.479521621,5.337679232,7.014899604,3.382631253,4.030653743,5.297176941
1/4/1900,1/4/2020,36,18,10,1/4/2019,34,21,7,1/4/2018,27,25,9,1/4/2017,53,23,4,1/5/2016,27,24,6,35.25,23.25,6.5,10.10336082,12.03889696,15.82179256,1.404561178,1.673637871,2.199533005,1.712017935,2.039995193,2.681008141
1/5/1900,1/5/2020,24,24,4,1/5/2019,42,13,13,1/5/2018,49,25,2,1/5/2017,15,28,3,1/6/2016,28,25,5,33.5,22.75,5.75,12.427447,14.80821645,19.46129529,5.470838552,6.518906212,8.567295002,4.10527479,4.891736628,6.428831678
1/6/1900,1/6/2020,14,20,13,1/6/2019,58,27,3,1/6/2018,9,24,3,1/6/2017,14,27,6,1/7/2016,31,20,21,28,24.5,8.25,18.18040773,21.66329198,28.47039166,2.727681158,3.25023257,4.271529662,7.086723528,8.444351921,11.0977596
1/7/1900,1/7/2020,26,26,5,1/7/2019,31,27,6,1/7/2018,7,29,5,1/7/2017,32,27,11,1/8/2016,53,11,26,30.75,23.5,12,15.46475891,18.42739682,24.21770456,6.897280073,8.21861612,10.80109247,7.973723796,9.501277929,12.48679583
1/8/1900,1/8/2020,16,24,4,1/8/2019,16,21,15,1/8/2018,13,27,11,1/8/2017,45,28,8,1/9/2016,91,24,12,41.25,25,11.5,29.74696297,35.44569262,46.58353646,2.600741939,3.098975162,4.072743732,2.374141711,2.828964335,3.717889354
1/9/1900,1/9/2020,22,25,3,1/9/2019,35,18,6,1/9/2018,36,21,7,1/9/2017,36,27,3,1/10/2016,43,26,6,37.5,23,5.5,3.040384866,3.62284202,4.761221488,3.489261461,4.157711473,5.464159103,1.424485026,1.697378601,2.230733613
1/10/1900,1/10/2020,13,21,8,1/10/2019,36,27,2,1/10/2018,30,14,23,1/10/2017,15,26,5,1/11/2016,19,29,3,25,24,8.25,7.973723796,9.501277929,12.48679583,5.577970036,6.646561249,8.735062158,8.151988168,9.71369303,12.76595659
